mouse_gene,marmoset_gene
ENSMUSG00000053211,ENSCJAG00000046843
ENSMUSG00000053211,ENSCJAG00000006139
ENSMUSG00000053211,ENSCJAG00000006113
ENSMUSG00000069053,ENSCJAG00000058055
ENSMUSG00000069053,ENSCJAG00000065730
ENSMUSG00000056673,ENSCJAG00000082956
ENSMUSG00000069049,ENSCJAG00000004867
ENSMUSG00000069049,ENSCJAG00000039431
ENSMUSG00000068457,ENSCJAG00000074089
ENSMUSG00000069045,ENSCJAG00000070436
ENSMUSG00000069045,ENSCJAG00000086894
ENSMUSG00000069045,ENSCJAG00000076197
ENSMUSG00000069045,ENSCJAG00000087052
ENSMUSG00000077793,ENSCJAG00000034636
ENSMUSG00000000103,ENSCJAG00000040902
ENSMUSG00000000103,ENSCJAG00000046873
ENSMUSG00000000103,ENSCJAG00000042684
ENSMUSG00000000103,ENSCJAG00000041042
ENSMUSG00000000103,ENSCJAG00000000036
ENSMUSG00000000103,ENSCJAG00000000381
ENSMUSG00000000103,ENSCJAG00000038560
ENSMUSG00000000103,ENSCJAG00000045864
ENSMUSG00000000103,ENSCJAG00000058328
ENSMUSG00000000103,ENSCJAG00000000028
ENSMUSG00000000103,ENSCJAG00000078341
ENSMUSG00000000103,ENSCJAG00000042550
ENSMUSG00000000103,ENSCJAG00000053037
ENSMUSG00000000103,ENSCJAG00000001947
ENSMUSG00000000103,ENSCJAG00000046843
ENSMUSG00000000103,ENSCJAG00000006139
ENSMUSG00000000103,ENSCJAG00000006113
ENSMUSG00000094881,ENSCJAG00000061898
ENSMUSG00000069036,ENSCJAG00000077540
ENSMUSG00000095573,ENSCJAG00000061898
ENSMUSG00000102053,ENSCJAG00000083285
ENSMUSG00000102053,ENSCJAG00000075041
ENSMUSG00000094658,ENSCJAG00000083285
ENSMUSG00000094658,ENSCJAG00000075041
ENSMUSG00000095852,ENSCJAG00000083285
ENSMUSG00000095852,ENSCJAG00000075041
ENSMUSG00000091987,ENSCJAG00000083285
ENSMUSG00000091987,ENSCJAG00000075041
ENSMUSG00000102739,ENSCJAG00000040385
ENSMUSG00000094325,ENSCJAG00000040385
ENSMUSG00000095267,ENSCJAG00000040385
ENSMUSG00000095520,ENSCJAG00000040385
ENSMUSG00000104267,ENSCJAG00000040385
ENSMUSG00000103468,ENSCJAG00000040385
ENSMUSG00000093903,ENSCJAG00000040385
ENSMUSG00000101155,ENSCJAG00000001658
ENSMUSG00000101155,ENSCJAG00000047041
ENSMUSG00000096122,ENSCJAG00000040385
ENSMUSG00000101399,ENSCJAG00000001658
ENSMUSG00000101399,ENSCJAG00000047041
ENSMUSG00000094052,ENSCJAG00000040385
ENSMUSG00000099948,ENSCJAG00000040385
ENSMUSG00000100231,ENSCJAG00000001658
ENSMUSG00000100231,ENSCJAG00000047041
ENSMUSG00000095508,ENSCJAG00000040385
ENSMUSG00000095606,ENSCJAG00000001658
ENSMUSG00000095606,ENSCJAG00000047041
ENSMUSG00000094570,ENSCJAG00000001658
ENSMUSG00000094570,ENSCJAG00000047041
ENSMUSG00000095867,ENSCJAG00000040385
ENSMUSG00000094746,ENSCJAG00000001658
ENSMUSG00000094746,ENSCJAG00000047041
ENSMUSG00000095793,ENSCJAG00000001658
ENSMUSG00000095793,ENSCJAG00000047041
ENSMUSG00000096650,ENSCJAG00000001658
ENSMUSG00000096650,ENSCJAG00000047041
ENSMUSG00000099531,ENSCJAG00000001658
ENSMUSG00000099531,ENSCJAG00000047041
ENSMUSG00000094660,ENSCJAG00000040385
ENSMUSG00000099840,ENSCJAG00000001658
ENSMUSG00000099840,ENSCJAG00000047041
ENSMUSG00000100485,ENSCJAG00000001658
ENSMUSG00000100485,ENSCJAG00000047041
ENSMUSG00000101158,ENSCJAG00000001658
ENSMUSG00000101158,ENSCJAG00000047041
ENSMUSG00000101286,ENSCJAG00000001658
ENSMUSG00000101286,ENSCJAG00000047041
ENSMUSG00000101933,ENSCJAG00000001658
ENSMUSG00000101933,ENSCJAG00000047041
ENSMUSG00000099894,ENSCJAG00000001658
ENSMUSG00000099894,ENSCJAG00000047041
ENSMUSG00000096769,ENSCJAG00000001658
ENSMUSG00000096769,ENSCJAG00000047041
ENSMUSG00000094616,ENSCJAG00000001658
ENSMUSG00000094616,ENSCJAG00000047041
ENSMUSG00000094647,ENSCJAG00000001658
ENSMUSG00000094647,ENSCJAG00000047041
ENSMUSG00000094821,ENSCJAG00000001658
ENSMUSG00000094821,ENSCJAG00000047041
ENSMUSG00000095979,ENSCJAG00000001658
ENSMUSG00000095979,ENSCJAG00000047041
ENSMUSG00000096902,ENSCJAG00000001658
ENSMUSG00000096902,ENSCJAG00000047041
ENSMUSG00000102045,ENSCJAG00000001658
ENSMUSG00000102045,ENSCJAG00000047041
ENSMUSG00000095153,ENSCJAG00000001658
ENSMUSG00000095153,ENSCJAG00000047041
ENSMUSG00000099541,ENSCJAG00000001658
ENSMUSG00000099541,ENSCJAG00000047041
ENSMUSG00000100055,ENSCJAG00000001658
ENSMUSG00000100055,ENSCJAG00000047041
ENSMUSG00000100708,ENSCJAG00000001658
ENSMUSG00000100708,ENSCJAG00000047041
ENSMUSG00000100726,ENSCJAG00000001658
ENSMUSG00000100726,ENSCJAG00000047041
ENSMUSG00000100972,ENSCJAG00000001658
ENSMUSG00000100972,ENSCJAG00000047041
ENSMUSG00000095578,ENSCJAG00000001658
ENSMUSG00000095578,ENSCJAG00000047041
ENSMUSG00000095135,ENSCJAG00000001658
ENSMUSG00000095135,ENSCJAG00000047041
ENSMUSG00000100667,ENSCJAG00000001658
ENSMUSG00000100667,ENSCJAG00000047041
ENSMUSG00000101653,ENSCJAG00000001658
ENSMUSG00000101653,ENSCJAG00000047041
ENSMUSG00000093895,ENSCJAG00000001658
ENSMUSG00000093895,ENSCJAG00000047041
ENSMUSG00000103371,ENSCJAG00000001658
ENSMUSG00000103371,ENSCJAG00000047041
ENSMUSG00000104191,ENSCJAG00000001658
ENSMUSG00000104191,ENSCJAG00000047041
ENSMUSG00000100608,ENSCJAG00000001658
ENSMUSG00000100608,ENSCJAG00000047041
ENSMUSG00000101915,ENSCJAG00000001658
ENSMUSG00000101915,ENSCJAG00000047041
ENSMUSG00000094789,ENSCJAG00000001658
ENSMUSG00000094789,ENSCJAG00000047041
ENSMUSG00000100467,ENSCJAG00000001658
ENSMUSG00000100467,ENSCJAG00000047041
ENSMUSG00000100338,ENSCJAG00000001658
ENSMUSG00000100338,ENSCJAG00000047041
ENSMUSG00000094181,ENSCJAG00000001658
ENSMUSG00000094181,ENSCJAG00000047041
ENSMUSG00000094782,ENSCJAG00000001658
ENSMUSG00000094782,ENSCJAG00000047041
ENSMUSG00000095011,ENSCJAG00000001658
ENSMUSG00000095011,ENSCJAG00000047041
ENSMUSG00000095141,ENSCJAG00000001658
ENSMUSG00000095141,ENSCJAG00000047041
ENSMUSG00000096178,ENSCJAG00000001658
ENSMUSG00000096178,ENSCJAG00000047041
ENSMUSG00000096626,ENSCJAG00000001658
ENSMUSG00000096626,ENSCJAG00000047041
ENSMUSG00000099740,ENSCJAG00000001658
ENSMUSG00000099740,ENSCJAG00000047041
ENSMUSG00000099792,ENSCJAG00000001658
ENSMUSG00000099792,ENSCJAG00000047041
ENSMUSG00000099925,ENSCJAG00000001658
ENSMUSG00000099925,ENSCJAG00000047041
ENSMUSG00000101528,ENSCJAG00000001658
ENSMUSG00000101528,ENSCJAG00000047041
ENSMUSG00000103528,ENSCJAG00000001658
ENSMUSG00000103528,ENSCJAG00000047041
ENSMUSG00000102668,ENSCJAG00000001658
ENSMUSG00000102668,ENSCJAG00000047041
ENSMUSG00000094813,ENSCJAG00000040385
ENSMUSG00000101396,ENSCJAG00000001658
ENSMUSG00000101396,ENSCJAG00000047041
ENSMUSG00000095950,ENSCJAG00000040385
ENSMUSG00000101243,ENSCJAG00000001658
ENSMUSG00000101243,ENSCJAG00000047041
ENSMUSG00000079806,ENSCJAG00000040385
ENSMUSG00000100634,ENSCJAG00000040385
ENSMUSG00000096036,ENSCJAG00000040385
ENSMUSG00000096706,ENSCJAG00000040385
ENSMUSG00000096268,ENSCJAG00000040385
ENSMUSG00000094773,ENSCJAG00000040385
ENSMUSG00000096223,ENSCJAG00000040385
ENSMUSG00000094556,ENSCJAG00000040385
ENSMUSG00000094484,ENSCJAG00000040385
ENSMUSG00000091077,ENSCJAG00000040385
ENSMUSG00000094679,ENSCJAG00000040385
ENSMUSG00000096820,ENSCJAG00000040385
ENSMUSG00000095900,ENSCJAG00000040385
ENSMUSG00000095452,ENSCJAG00000040385
ENSMUSG00000095263,ENSCJAG00000001658
ENSMUSG00000095263,ENSCJAG00000047041
ENSMUSG00000094399,ENSCJAG00000001658
ENSMUSG00000094399,ENSCJAG00000047041
ENSMUSG00000047161,ENSCJAG00000020745
ENSMUSG00000024304,ENSCJAG00000020748
ENSMUSG00000048799,ENSCJAG00000017322
ENSMUSG00000073563,ENSCJAG00000017348
ENSMUSG00000052713,ENSCJAG00000008225
ENSMUSG00000088227,ENSCJAG00000047326
ENSMUSG00000088227,ENSCJAG00000074481
ENSMUSG00000001700,ENSCJAG00000008280
ENSMUSG00000001700,ENSCJAG00000085599
ENSMUSG00000024331,ENSCJAG00000020776
ENSMUSG00000034774,ENSCJAG00000020778
ENSMUSG00000069441,ENSCJAG00000020778
ENSMUSG00000061928,ENSCJAG00000020778
ENSMUSG00000053644,ENSCJAG00000011102
ENSMUSG00000053644,ENSCJAG00000073070
ENSMUSG00000008301,ENSCJAG00000055757
ENSMUSG00000032900,ENSCJAG00000011071
ENSMUSG00000024590,ENSCJAG00000019144
ENSMUSG00000033863,ENSCJAG00000086654
ENSMUSG00000032656,ENSCJAG00000019167
ENSMUSG00000025075,ENSCJAG00000019000
ENSMUSG00000056632,ENSCJAG00000020796
ENSMUSG00000024592,ENSCJAG00000048624
ENSMUSG00000024592,ENSCJAG00000065191
ENSMUSG00000024943,ENSCJAG00000001577
ENSMUSG00000044393,ENSCJAG00000020804
ENSMUSG00000061808,ENSCJAG00000059037
ENSMUSG00000056124,ENSCJAG00000020816
ENSMUSG00000024593,ENSCJAG00000019171
ENSMUSG00000118919,ENSCJAG00000071694
ENSMUSG00000033207,ENSCJAG00000001644
ENSMUSG00000033382,ENSCJAG00000020835
ENSMUSG00000033053,ENSCJAG00000043410
ENSMUSG00000074925,ENSCJAG00000001663
ENSMUSG00000024897,ENSCJAG00000001668
ENSMUSG00000033107,ENSCJAG00000062320
ENSMUSG00000024317,ENSCJAG00000020875
ENSMUSG00000071604,ENSCJAG00000001686
ENSMUSG00000024812,ENSCJAG00000001713
ENSMUSG00000024313,ENSCJAG00000020878
ENSMUSG00000042680,ENSCJAG00000041730
ENSMUSG00000119849,ENSCJAG00000027955
ENSMUSG00000119907,ENSCJAG00000079408
ENSMUSG00000024598,ENSCJAG00000019242
ENSMUSG00000059363,ENSCJAG00000055135
ENSMUSG00000024867,ENSCJAG00000001751
ENSMUSG00000042514,ENSCJAG00000020891
ENSMUSG00000048572,ENSCJAG00000047141
ENSMUSG00000041731,ENSCJAG00000016121
ENSMUSG00000024600,ENSCJAG00000019300
ENSMUSG00000024601,ENSCJAG00000041714
ENSMUSG00000058927,ENSCJAG00000084433
ENSMUSG00000058927,ENSCJAG00000084043
ENSMUSG00000058927,ENSCJAG00000074356
ENSMUSG00000051490,ENSCJAG00000040149
ENSMUSG00000051490,ENSCJAG00000008647
ENSMUSG00000053441,ENSCJAG00000019311
ENSMUSG00000049134,ENSCJAG00000019017
ENSMUSG00000024306,ENSCJAG00000020902
ENSMUSG00000056380,ENSCJAG00000060490
ENSMUSG00000073257,ENSCJAG00000001658
ENSMUSG00000073257,ENSCJAG00000047041
ENSMUSG00000050875,ENSCJAG00000019327
ENSMUSG00000065022,ENSCJAG00000086825
ENSMUSG00000065022,ENSCJAG00000072492
ENSMUSG00000065022,ENSCJAG00000054655
ENSMUSG00000065022,ENSCJAG00000076931
ENSMUSG00000065022,ENSCJAG00000054423
ENSMUSG00000073131,ENSCJAG00000074761
ENSMUSG00000064545,ENSCJAG00000086825
ENSMUSG00000064545,ENSCJAG00000072492
ENSMUSG00000064545,ENSCJAG00000054655
ENSMUSG00000064545,ENSCJAG00000076931
ENSMUSG00000064545,ENSCJAG00000054423
ENSMUSG00000064720,ENSCJAG00000086825
ENSMUSG00000064720,ENSCJAG00000072492
ENSMUSG00000064720,ENSCJAG00000054655
ENSMUSG00000064720,ENSCJAG00000076931
ENSMUSG00000064720,ENSCJAG00000054423
ENSMUSG00000084487,ENSCJAG00000075981
ENSMUSG00000084487,ENSCJAG00000086421
ENSMUSG00000064726,ENSCJAG00000072441
ENSMUSG00000064726,ENSCJAG00000057135
ENSMUSG00000084604,ENSCJAG00000072590
ENSMUSG00000084604,ENSCJAG00000078568
ENSMUSG00000084604,ENSCJAG00000067651
ENSMUSG00000088820,ENSCJAG00000069991
ENSMUSG00000106653,ENSCJAG00000030045
ENSMUSG00000020607,ENSCJAG00000046159
ENSMUSG00000073255,ENSCJAG00000001658
ENSMUSG00000073255,ENSCJAG00000047041
ENSMUSG00000065617,ENSCJAG00000025915
ENSMUSG00000070141,ENSCJAG00000028414
ENSMUSG00000119624,ENSCJAG00000071377
ENSMUSG00000058152,ENSCJAG00000019330
ENSMUSG00000064386,ENSCJAG00000070074
ENSMUSG00000020601,ENSCJAG00000046267
ENSMUSG00000041380,ENSCJAG00000006967
ENSMUSG00000041923,ENSCJAG00000020928
ENSMUSG00000065426,ENSCJAG00000024569
ENSMUSG00000065448,ENSCJAG00000030411
ENSMUSG00000071234,ENSCJAG00000072523
ENSMUSG00000056537,ENSCJAG00000013235
ENSMUSG00000065570,ENSCJAG00000069194
ENSMUSG00000065497,ENSCJAG00000027774
ENSMUSG00000035142,ENSCJAG00000005582
ENSMUSG00000065968,ENSCJAG00000078879
ENSMUSG00000065968,ENSCJAG00000071553
ENSMUSG00000065968,ENSCJAG00000070647
ENSMUSG00000065968,ENSCJAG00000083961
ENSMUSG00000065968,ENSCJAG00000072282
ENSMUSG00000065968,ENSCJAG00000084962
ENSMUSG00000065968,ENSCJAG00000083257
ENSMUSG00000065968,ENSCJAG00000083522
ENSMUSG00000065968,ENSCJAG00000077319
ENSMUSG00000065968,ENSCJAG00000044209
ENSMUSG00000065968,ENSCJAG00000085591
ENSMUSG00000065968,ENSCJAG00000078416
ENSMUSG00000084576,ENSCJAG00000033085
ENSMUSG00000084576,ENSCJAG00000035470
ENSMUSG00000084576,ENSCJAG00000064873
ENSMUSG00000091212,ENSCJAG00000022606
ENSMUSG00000044117,ENSCJAG00000047511
ENSMUSG00000077767,ENSCJAG00000025614
ENSMUSG00000064876,ENSCJAG00000051696
ENSMUSG00000064876,ENSCJAG00000027019
ENSMUSG00000021242,ENSCJAG00000020476
ENSMUSG00000024604,ENSCJAG00000020963
ENSMUSG00000024604,ENSCJAG00000072251
ENSMUSG00000022820,ENSCJAG00000008695
ENSMUSG00000021241,ENSCJAG00000020479
ENSMUSG00000060657,ENSCJAG00000005426
ENSMUSG00000065450,ENSCJAG00000024546
ENSMUSG00000094759,ENSCJAG00000001658
ENSMUSG00000094759,ENSCJAG00000047041
ENSMUSG00000035133,ENSCJAG00000005538
ENSMUSG00000033361,ENSCJAG00000070964
ENSMUSG00000024302,ENSCJAG00000020947
ENSMUSG00000119273,ENSCJAG00000080919
ENSMUSG00000119013,ENSCJAG00000080919
ENSMUSG00000061603,ENSCJAG00000005474
ENSMUSG00000046449,ENSCJAG00000000235
ENSMUSG00000070074,ENSCJAG00000026072
ENSMUSG00000053593,ENSCJAG00000003890
ENSMUSG00000022816,ENSCJAG00000008700
ENSMUSG00000031289,ENSCJAG00000006949
ENSMUSG00000024878,ENSCJAG00000070173
ENSMUSG00000024878,ENSCJAG00000008658
ENSMUSG00000024878,ENSCJAG00000010423
ENSMUSG00000024878,ENSCJAG00000032275
ENSMUSG00000021010,ENSCJAG00000047425
ENSMUSG00000034158,ENSCJAG00000008751
ENSMUSG00000046961,ENSCJAG00000038418
ENSMUSG00000005864,ENSCJAG00000003872
ENSMUSG00000022812,ENSCJAG00000008783
ENSMUSG00000035105,ENSCJAG00000005424
ENSMUSG00002075381,ENSCJAG00000026252
ENSMUSG00000025076,ENSCJAG00000043837
ENSMUSG00002076688,ENSCJAG00000023818
ENSMUSG00000033343,ENSCJAG00000003841
ENSMUSG00000002020,ENSCJAG00000020480
ENSMUSG00000031333,ENSCJAG00000016979
ENSMUSG00000052085,ENSCJAG00000010485
ENSMUSG00000022678,ENSCJAG00000005503
ENSMUSG00000073016,ENSCJAG00000017056
ENSMUSG00000031340,ENSCJAG00000003848
ENSMUSG00000043453,ENSCJAG00000003841
ENSMUSG00000033906,ENSCJAG00000017070
ENSMUSG00000024277,ENSCJAG00000020995
ENSMUSG00000032702,ENSCJAG00000010595
ENSMUSG00000031224,ENSCJAG00000044553
ENSMUSG00000088960,ENSCJAG00000073780
ENSMUSG00000031343,ENSCJAG00000003815
ENSMUSG00000064843,ENSCJAG00000076049
ENSMUSG00000002489,ENSCJAG00000008881
ENSMUSG00000017843,ENSCJAG00000011621
ENSMUSG00000042372,ENSCJAG00000063670
ENSMUSG00000077847,ENSCJAG00000069346
ENSMUSG00000073247,ENSCJAG00000001658
ENSMUSG00000073247,ENSCJAG00000047041
ENSMUSG00000048138,ENSCJAG00000010690
ENSMUSG00000024276,ENSCJAG00000021000
ENSMUSG00000025078,ENSCJAG00000019217
ENSMUSG00000051469,ENSCJAG00000077326
ENSMUSG00000068114,ENSCJAG00000002415
ENSMUSG00000047989,ENSCJAG00000021025
ENSMUSG00000035283,ENSCJAG00000019237
ENSMUSG00000035173,ENSCJAG00000019239
ENSMUSG00000073245,ENSCJAG00000001658
ENSMUSG00000073245,ENSCJAG00000047041
ENSMUSG00000000420,ENSCJAG00000021030
ENSMUSG00000022155,ENSCJAG00000007279
ENSMUSG00000024855,ENSCJAG00000001648
ENSMUSG00000042350,ENSCJAG00000020497
ENSMUSG00000022982,ENSCJAG00000008983
ENSMUSG00000065532,ENSCJAG00000029226
ENSMUSG00000024273,ENSCJAG00000021041
ENSMUSG00000022983,ENSCJAG00000008993
ENSMUSG00000079105,ENSCJAG00000007321
ENSMUSG00000040446,ENSCJAG00000021044
ENSMUSG00000041849,ENSCJAG00000007376
ENSMUSG00000024619,ENSCJAG00000021069
ENSMUSG00000024269,ENSCJAG00000021123
ENSMUSG00000077737,ENSCJAG00000053558
ENSMUSG00000050697,ENSCJAG00000007341
ENSMUSG00000024853,ENSCJAG00000001656
ENSMUSG00000031226,ENSCJAG00000086946
ENSMUSG00000031226,ENSCJAG00000053184
ENSMUSG00000031226,ENSCJAG00000018571
ENSMUSG00000033871,ENSCJAG00000021113
ENSMUSG00000022463,ENSCJAG00000002378
ENSMUSG00000018707,ENSCJAG00000011576
ENSMUSG00000053414,ENSCJAG00000045743
ENSMUSG00000031230,ENSCJAG00000085860
ENSMUSG00000105200,ENSCJAG00000024711
ENSMUSG00000024268,ENSCJAG00000021135
ENSMUSG00000022978,ENSCJAG00000009090
ENSMUSG00000022978,ENSCJAG00000068059
ENSMUSG00000047658,ENSCJAG00000001701
ENSMUSG00000038498,ENSCJAG00000001712
ENSMUSG00000039956,ENSCJAG00000009105
ENSMUSG00000022369,ENSCJAG00000005324
ENSMUSG00000039929,ENSCJAG00000009118
ENSMUSG00000024846,ENSCJAG00000085336
ENSMUSG00000025081,ENSCJAG00000019270
ENSMUSG00000021243,ENSCJAG00000020518
ENSMUSG00000021270,ENSCJAG00000033945
ENSMUSG00000018830,ENSCJAG00000005543
ENSMUSG00000065465,ENSCJAG00000036626
ENSMUSG00000096883,ENSCJAG00000014945
ENSMUSG00000020593,ENSCJAG00000006976
ENSMUSG00000060429,ENSCJAG00000005315
ENSMUSG00000033628,ENSCJAG00000003901
ENSMUSG00000022151,ENSCJAG00000047411
ENSMUSG00000065256,ENSCJAG00000082735
ENSMUSG00000084575,ENSCJAG00000069857
ENSMUSG00000041353,ENSCJAG00000057349
ENSMUSG00000022367,ENSCJAG00000055536
ENSMUSG00000033063,ENSCJAG00000004536
ENSMUSG00000039942,ENSCJAG00000007410
ENSMUSG00000031232,ENSCJAG00000018916
ENSMUSG00000041817,ENSCJAG00000016884
ENSMUSG00000024844,ENSCJAG00000070577
ENSMUSG00000024844,ENSCJAG00000051760
ENSMUSG00000071757,ENSCJAG00000022247
ENSMUSG00000024841,ENSCJAG00000001732
ENSMUSG00000022365,ENSCJAG00000038870
ENSMUSG00000025082,ENSCJAG00000019284
ENSMUSG00000022364,ENSCJAG00000000953
ENSMUSG00000057762,ENSCJAG00000002681
ENSMUSG00000060739,ENSCJAG00000016874
ENSMUSG00000022677,ENSCJAG00000005629
ENSMUSG00000057455,ENSCJAG00000003987
ENSMUSG00000021359,ENSCJAG00000021312
ENSMUSG00000024578,ENSCJAG00000021136
ENSMUSG00000025269,ENSCJAG00000016584
ENSMUSG00000039903,ENSCJAG00000009130
ENSMUSG00000024579,ENSCJAG00000021137
ENSMUSG00000039148,ENSCJAG00000001741
ENSMUSG00000033032,ENSCJAG00000021140
ENSMUSG00000037106,ENSCJAG00000082085
ENSMUSG00000062373,ENSCJAG00000000756
ENSMUSG00000039330,ENSCJAG00000001757
ENSMUSG00000022972,ENSCJAG00000009160
ENSMUSG00000041138,ENSCJAG00000012554
ENSMUSG00000025270,ENSCJAG00000016542
ENSMUSG00000037085,ENSCJAG00000022174
ENSMUSG00000024914,ENSCJAG00000040572
ENSMUSG00000037075,ENSCJAG00000038974
ENSMUSG00000032735,ENSCJAG00000021152
ENSMUSG00000022150,ENSCJAG00000007426
ENSMUSG00000037957,ENSCJAG00000009920
ENSMUSG00000022790,ENSCJAG00000009128
ENSMUSG00000020591,ENSCJAG00000006958
ENSMUSG00000033792,ENSCJAG00000004052
ENSMUSG00000118928,ENSCJAG00000073153
ENSMUSG00000068617,ENSCJAG00000013505
