human_gene,macaque_gene
ENSG00000252426,ENSMFAG00000055196
ENSG00000172288,ENSMFAG00000048100
ENSG00000242875,ENSMFAG00000057622
ENSG00000234414,ENSMFAG00000057622
ENSG00000233803,ENSMFAG00000055594
ENSG00000233803,ENSMFAG00000062404
ENSG00000233803,ENSMFAG00000059046
ENSG00000229549,ENSMFAG00000055594
ENSG00000229549,ENSMFAG00000062404
ENSG00000229549,ENSMFAG00000059046
ENSG00000228927,ENSMFAG00000055594
ENSG00000228927,ENSMFAG00000062404
ENSG00000228927,ENSMFAG00000059046
ENSG00000258992,ENSMFAG00000055594
ENSG00000258992,ENSMFAG00000062404
ENSG00000258992,ENSMFAG00000059046
ENSG00000238074,ENSMFAG00000055594
ENSG00000238074,ENSMFAG00000062404
ENSG00000238074,ENSMFAG00000059046
ENSG00000236424,ENSMFAG00000055594
ENSG00000236424,ENSMFAG00000062404
ENSG00000236424,ENSMFAG00000059046
ENSG00000168757,ENSMFAG00000055594
ENSG00000168757,ENSMFAG00000062404
ENSG00000168757,ENSMFAG00000059046
ENSG00000244395,ENSMFAG00000057622
ENSG00000242389,ENSMFAG00000057622
ENSG00000169800,ENSMFAG00000057622
ENSG00000226941,ENSMFAG00000057622
ENSG00000165246,ENSMFAG00000038021
ENSG00000067048,ENSMFAG00000060380
ENSG00000114374,ENSMFAG00000065535
ENSG00000183878,ENSMFAG00000063023
ENSG00000012817,ENSMFAG00000063076
ENSG00000067646,ENSMFAG00000052850
ENSG00000198692,ENSMFAG00000041029
ENSG00000198692,ENSMFAG00000052371
ENSG00000154646,ENSMFAG00000065300
ENSG00000154646,ENSMFAG00000044832
ENSG00000188694,ENSMFAG00000050451
ENSG00000154654,ENSMFAG00000041136
ENSG00000156284,ENSMFAG00000030251
ENSG00000159256,ENSMFAG00000042335
ENSG00000154645,ENSMFAG00000030235
ENSG00000277777,ENSMFAG00000063736
ENSG00000277777,ENSMFAG00000050939
ENSG00000277739,ENSMFAG00000059452
ENSG00000277739,ENSMFAG00000056818
ENSG00000277739,ENSMFAG00000063934
ENSG00000277739,ENSMFAG00000064774
ENSG00000277739,ENSMFAG00000057897
ENSG00000277739,ENSMFAG00000047490
ENSG00000277739,ENSMFAG00000062789
ENSG00000277739,ENSMFAG00000060438
ENSG00000277739,ENSMFAG00000060275
ENSG00000277739,ENSMFAG00000055149
ENSG00000277739,ENSMFAG00000061980
ENSG00000277739,ENSMFAG00000060588
ENSG00000277739,ENSMFAG00000057347
ENSG00000277739,ENSMFAG00000057231
ENSG00000277739,ENSMFAG00000065301
ENSG00000277739,ENSMFAG00000049788
ENSG00000274484,ENSMFAG00000063736
ENSG00000274484,ENSMFAG00000050939
ENSG00000275215,ENSMFAG00000059452
ENSG00000275215,ENSMFAG00000056818
ENSG00000275215,ENSMFAG00000063934
ENSG00000275215,ENSMFAG00000064774
ENSG00000275215,ENSMFAG00000057897
ENSG00000275215,ENSMFAG00000047490
ENSG00000275215,ENSMFAG00000062789
ENSG00000275215,ENSMFAG00000060438
ENSG00000275215,ENSMFAG00000060275
ENSG00000275215,ENSMFAG00000055149
ENSG00000275215,ENSMFAG00000061980
ENSG00000275215,ENSMFAG00000060588
ENSG00000275215,ENSMFAG00000057347
ENSG00000275215,ENSMFAG00000057231
ENSG00000275215,ENSMFAG00000065301
ENSG00000275215,ENSMFAG00000049788
ENSG00000276546,ENSMFAG00000063736
ENSG00000276546,ENSMFAG00000050939
ENSG00000278233,ENSMFAG00000059452
ENSG00000278233,ENSMFAG00000056818
ENSG00000278233,ENSMFAG00000063934
ENSG00000278233,ENSMFAG00000064774
ENSG00000278233,ENSMFAG00000057897
ENSG00000278233,ENSMFAG00000047490
ENSG00000278233,ENSMFAG00000062789
ENSG00000278233,ENSMFAG00000060438
ENSG00000278233,ENSMFAG00000060275
ENSG00000278233,ENSMFAG00000055149
ENSG00000278233,ENSMFAG00000061980
ENSG00000278233,ENSMFAG00000060588
ENSG00000278233,ENSMFAG00000057347
ENSG00000278233,ENSMFAG00000057231
ENSG00000278233,ENSMFAG00000065301
ENSG00000278233,ENSMFAG00000049788
ENSG00000252199,ENSMFAG00000021660
ENSG00000274046,ENSMFAG00000063736
ENSG00000274046,ENSMFAG00000050939
ENSG00000207476,ENSMFAG00000049928
ENSG00000207476,ENSMFAG00000048130
ENSG00000207476,ENSMFAG00000057415
ENSG00000207476,ENSMFAG00000047809
ENSG00000207476,ENSMFAG00000059704
ENSG00000264002,ENSMFAG00000018069
ENSG00000252462,ENSMFAG00000008883
ENSG00000200754,ENSMFAG00000023161
ENSG00000199962,ENSMFAG00000034864
ENSG00000251851,ENSMFAG00000035239
ENSG00000202339,ENSMFAG00000060092
ENSG00000207097,ENSMFAG00000061205
ENSG00000283300,ENSMFAG00000009587
ENSG00000200792,ENSMFAG00000049389
ENSG00000211590,ENSMFAG00000006507
ENSG00000200213,ENSMFAG00000036242
ENSG00000159228,ENSMFAG00000045053
ENSG00000159263,ENSMFAG00000002855
ENSG00000207416,ENSMFAG00000022328
ENSG00000160208,ENSMFAG00000039152
ENSG00000160216,ENSMFAG00000053688
ENSG00000199598,ENSMFAG00000034949
ENSG00000252606,ENSMFAG00000005936
ENSG00000207503,ENSMFAG00000012523
ENSG00000274391,ENSMFAG00000043402
ENSG00000223287,ENSMFAG00000056003
ENSG00000183036,ENSMFAG00000002748
ENSG00000171587,ENSMFAG00000033365
ENSG00000207147,ENSMFAG00000009255
ENSG00000183421,ENSMFAG00000044571
ENSG00000160181,ENSMFAG00000057433
ENSG00000160182,ENSMFAG00000030916
ENSG00000160185,ENSMFAG00000031488
ENSG00000252619,ENSMFAG00000012120
ENSG00000234289,ENSMFAG00000058831
ENSG00000142182,ENSMFAG00000046145
ENSG00000160226,ENSMFAG00000049270
ENSG00000266692,ENSMFAG00000005870
ENSG00000264452,ENSMFAG00000005847
ENSG00000188155,ENSMFAG00000053657
ENSG00000272804,ENSMFAG00000051280
ENSG00000221398,ENSMFAG00000021562
ENSG00000166351,ENSMFAG00000061937
ENSG00000166351,ENSMFAG00000033345
ENSG00000166351,ENSMFAG00000063545
ENSG00000166351,ENSMFAG00000065529
ENSG00000166351,ENSMFAG00000001981
ENSG00000166351,ENSMFAG00000054294
ENSG00000177398,ENSMFAG00000039195
ENSG00000182591,ENSMFAG00000060023
ENSG00000238390,ENSMFAG00000014656
ENSG00000233056,ENSMFAG00000020678
ENSG00000233056,ENSMFAG00000051929
ENSG00000188992,ENSMFAG00000002370
ENSG00000215454,ENSMFAG00000031679
ENSG00000183067,ENSMFAG00000033889
ENSG00000274790,ENSMFAG00000063736
ENSG00000274790,ENSMFAG00000050939
ENSG00000276902,ENSMFAG00000063736
ENSG00000276902,ENSMFAG00000050939
ENSG00000160294,ENSMFAG00000041104
ENSG00000204899,ENSMFAG00000044898
ENSG00000165837,ENSMFAG00000044485
ENSG00000150361,ENSMFAG00000045236
ENSG00000202239,ENSMFAG00000009315
ENSG00000284448,ENSMFAG00000009783
ENSG00000182670,ENSMFAG00000045889
ENSG00000150893,ENSMFAG00000002618
ENSG00000174015,ENSMFAG00000039854
ENSG00000152192,ENSMFAG00000064810
ENSG00000188811,ENSMFAG00000001573
ENSG00000102837,ENSMFAG00000045777
ENSG00000139734,ENSMFAG00000045809
ENSG00000197683,ENSMFAG00000062742
ENSG00000197683,ENSMFAG00000051583
ENSG00000182816,ENSMFAG00000050984
ENSG00000198390,ENSMFAG00000050984
ENSG00000201025,ENSMFAG00000019069
ENSG00000207638,ENSMFAG00000005634
ENSG00000199030,ENSMFAG00000040895
ENSG00000207863,ENSMFAG00000006263
ENSG00000239023,ENSMFAG00000013937
ENSG00000186971,ENSMFAG00000061177
ENSG00000207098,ENSMFAG00000017297
ENSG00000159140,ENSMFAG00000034427
ENSG00000118946,ENSMFAG00000044703
ENSG00000136141,ENSMFAG00000032767
ENSG00000184564,ENSMFAG00000040915
ENSG00000041515,ENSMFAG00000043164
ENSG00000180530,ENSMFAG00000026185
ENSG00000159200,ENSMFAG00000000212
ENSG00000153498,ENSMFAG00000023319
ENSG00000204442,ENSMFAG00000030954
ENSG00000185974,ENSMFAG00000039991
ENSG00000122042,ENSMFAG00000044955
ENSG00000171189,ENSMFAG00000039272
ENSG00000179813,ENSMFAG00000045377
ENSG00000276183,ENSMFAG00000061205
ENSG00000199196,ENSMFAG00000030227
ENSG00000252397,ENSMFAG00000012028
ENSG00000252795,ENSMFAG00000004675
ENSG00000212553,ENSMFAG00000011935
ENSG00000207458,ENSMFAG00000011539
ENSG00000244521,ENSMFAG00000013105
ENSG00000274357,ENSMFAG00000012907
ENSG00000241613,ENSMFAG00000021850
ENSG00000239003,ENSMFAG00000050921
ENSG00000206854,ENSMFAG00000056025
ENSG00000265745,ENSMFAG00000022005
ENSG00000212377,ENSMFAG00000063684
ENSG00000243671,ENSMFAG00000020522
ENSG00000206922,ENSMFAG00000062476
ENSG00000199282,ENSMFAG00000004623
ENSG00000251715,ENSMFAG00000035231
ENSG00000206697,ENSMFAG00000010920
ENSG00000201253,ENSMFAG00000007202
ENSG00000200267,ENSMFAG00000022382
ENSG00000207495,ENSMFAG00000008173
ENSG00000202398,ENSMFAG00000059024
ENSG00000206800,ENSMFAG00000009055
ENSG00000222486,ENSMFAG00000062579
ENSG00000200686,ENSMFAG00000013549
ENSG00000222791,ENSMFAG00000013987
ENSG00000200733,ENSMFAG00000005601
ENSG00000243366,ENSMFAG00000023371
ENSG00000252550,ENSMFAG00000025049
ENSG00000201847,ENSMFAG00000020818
ENSG00000200072,ENSMFAG00000004705
ENSG00000253094,ENSMFAG00000007572
ENSG00000207157,ENSMFAG00000014852
ENSG00000198553,ENSMFAG00000042387
ENSG00000283785,ENSMFAG00000010595
ENSG00000251972,ENSMFAG00000004968
ENSG00000206802,ENSMFAG00000053384
ENSG00000150510,ENSMFAG00000030099
ENSG00000288593,ENSMFAG00000057571
ENSG00000189167,ENSMFAG00000061082
ENSG00000212564,ENSMFAG00000014655
ENSG00000180138,ENSMFAG00000035822
ENSG00000243927,ENSMFAG00000054144
ENSG00000133111,ENSMFAG00000043454
ENSG00000240767,ENSMFAG00000023798
ENSG00000223336,ENSMFAG00000009631
ENSG00000252385,ENSMFAG00000053010
ENSG00000252385,ENSMFAG00000054568
ENSG00000252385,ENSMFAG00000051287
ENSG00000215475,ENSMFAG00000000091
ENSG00000159197,ENSMFAG00000053165
ENSG00000253051,ENSMFAG00000005726
ENSG00000199477,ENSMFAG00000005768
ENSG00000202151,ENSMFAG00000013302
ENSG00000207203,ENSMFAG00000047508
ENSG00000178235,ENSMFAG00000000028
ENSG00000244264,ENSMFAG00000014261
ENSG00000165572,ENSMFAG00000056684
ENSG00000120696,ENSMFAG00000002271
ENSG00000241406,ENSMFAG00000011013
ENSG00000206962,ENSMFAG00000063066
ENSG00000125249,ENSMFAG00000036715
ENSG00000160202,ENSMFAG00000036551
ENSG00000201821,ENSMFAG00000017903
ENSG00000199767,ENSMFAG00000004479
ENSG00000242381,ENSMFAG00000008585
ENSG00000180730,ENSMFAG00000061772
ENSG00000133105,ENSMFAG00000003580
ENSG00000073910,ENSMFAG00000040039
ENSG00000278732,ENSMFAG00000054707
ENSG00000278732,ENSMFAG00000062787
ENSG00000207325,ENSMFAG00000034838
ENSG00000253797,ENSMFAG00000033204
ENSG00000243900,ENSMFAG00000009581
ENSG00000206920,ENSMFAG00000014943
ENSG00000206920,ENSMFAG00000033826
ENSG00000242893,ENSMFAG00000012220
ENSG00000123171,ENSMFAG00000060546
ENSG00000125245,ENSMFAG00000013647
ENSG00000102524,ENSMFAG00000032565
ENSG00000132932,ENSMFAG00000037099
ENSG00000151835,ENSMFAG00000003244
ENSG00000231824,ENSMFAG00000031861
ENSG00000132874,ENSMFAG00000033369
ENSG00000102805,ENSMFAG00000044623
ENSG00000134489,ENSMFAG00000050624
ENSG00000253309,ENSMFAG00000030949
ENSG00000177511,ENSMFAG00000032690
ENSG00000139780,ENSMFAG00000056668
ENSG00000125255,ENSMFAG00000040253
ENSG00000199605,ENSMFAG00000062439
ENSG00000081138,ENSMFAG00000032853
ENSG00000201245,ENSMFAG00000011377
ENSG00000043355,ENSMFAG00000057731
ENSG00000139800,ENSMFAG00000057061
ENSG00000169840,ENSMFAG00000037158
ENSG00000166603,ENSMFAG00000023876
ENSG00000139515,ENSMFAG00000063371
ENSG00000172915,ENSMFAG00000033753
ENSG00000101542,ENSMFAG00000034335
ENSG00000141428,ENSMFAG00000040105
ENSG00000141424,ENSMFAG00000034536
ENSG00000252128,ENSMFAG00000030393
ENSG00000207518,ENSMFAG00000015754
ENSG00000102678,ENSMFAG00000036769
ENSG00000166573,ENSMFAG00000063435
ENSG00000244197,ENSMFAG00000017628
ENSG00000202347,ENSMFAG00000005113
ENSG00000153531,ENSMFAG00000034058
ENSG00000197971,ENSMFAG00000041988
ENSG00000197971,ENSMFAG00000052298
ENSG00000275014,ENSMFAG00000052803
ENSG00000275014,ENSMFAG00000053655
ENSG00000275014,ENSMFAG00000013021
ENSG00000275014,ENSMFAG00000049570
ENSG00000202478,ENSMFAG00000053010
ENSG00000202478,ENSMFAG00000054568
ENSG00000202478,ENSMFAG00000051287
ENSG00000132958,ENSMFAG00000043402
ENSG00000273964,ENSMFAG00000012027
ENSG00000202237,ENSMFAG00000015788
ENSG00000120659,ENSMFAG00000057769
ENSG00000253710,ENSMFAG00000059159
ENSG00000173988,ENSMFAG00000033245
ENSG00000280165,ENSMFAG00000001794
ENSG00000212293,ENSMFAG00000021848
ENSG00000207474,ENSMFAG00000011414
ENSG00000132972,ENSMFAG00000032388
ENSG00000102471,ENSMFAG00000003559
ENSG00000199272,ENSMFAG00000009069
ENSG00000243591,ENSMFAG00000016881
ENSG00000283532,ENSMFAG00000063224
ENSG00000199856,ENSMFAG00000020919
ENSG00000251994,ENSMFAG00000060422
ENSG00000212626,ENSMFAG00000011657
ENSG00000200883,ENSMFAG00000010700
ENSG00000207092,ENSMFAG00000050452
ENSG00000242216,ENSMFAG00000021975
ENSG00000207160,ENSMFAG00000012203
ENSG00000199204,ENSMFAG00000065211
ENSG00000212354,ENSMFAG00000004622
ENSG00000253038,ENSMFAG00000064124
ENSG00000206944,ENSMFAG00000050780
ENSG00000202240,ENSMFAG00000005197
ENSG00000206865,ENSMFAG00000047545
ENSG00000212539,ENSMFAG00000016260
ENSG00000206769,ENSMFAG00000011835
ENSG00000239398,ENSMFAG00000007694
ENSG00000202468,ENSMFAG00000007067
ENSG00000252555,ENSMFAG00000004113
ENSG00000238680,ENSMFAG00000033525
ENSG00000243549,ENSMFAG00000008402
ENSG00000239748,ENSMFAG00000007524
ENSG00000199392,ENSMFAG00000013465
ENSG00000199728,ENSMFAG00000005685
ENSG00000201723,ENSMFAG00000010141
ENSG00000201825,ENSMFAG00000033761
ENSG00000175065,ENSMFAG00000031939
ENSG00000207298,ENSMFAG00000005793
ENSG00000206617,ENSMFAG00000007901
ENSG00000186009,ENSMFAG00000036883
ENSG00000207240,ENSMFAG00000064415
ENSG00000266325,ENSMFAG00000049225
ENSG00000139737,ENSMFAG00000002894
ENSG00000202093,ENSMFAG00000007576
ENSG00000206602,ENSMFAG00000029017
ENSG00000271982,ENSMFAG00000006728
ENSG00000207154,ENSMFAG00000021870
ENSG00000176624,ENSMFAG00000056117
ENSG00000275900,ENSMFAG00000016374
ENSG00000119547,ENSMFAG00000032509
ENSG00000202159,ENSMFAG00000035046
ENSG00000284440,ENSMFAG00000021732
ENSG00000201598,ENSMFAG00000005386
ENSG00000199713,ENSMFAG00000016306
ENSG00000173482,ENSMFAG00000002650
ENSG00000133116,ENSMFAG00000035814
ENSG00000223024,ENSMFAG00000056003
ENSG00000276644,ENSMFAG00000032114
ENSG00000201155,ENSMFAG00000014260
ENSG00000083635,ENSMFAG00000033059
ENSG00000154856,ENSMFAG00000003938
ENSG00000265802,ENSMFAG00000013791
ENSG00000180332,ENSMFAG00000038976
ENSG00000151846,ENSMFAG00000051409
ENSG00000165566,ENSMFAG00000021323
ENSG00000120669,ENSMFAG00000031914
ENSG00000251886,ENSMFAG00000017269
ENSG00000252677,ENSMFAG00000014689
ENSG00000171791,ENSMFAG00000056444
ENSG00000181626,ENSMFAG00000042058
ENSG00000242715,ENSMFAG00000032877
ENSG00000200827,ENSMFAG00000008231
ENSG00000176194,ENSMFAG00000042507
ENSG00000199702,ENSMFAG00000004513
ENSG00000242707,ENSMFAG00000011222
ENSG00000207034,ENSMFAG00000016962
ENSG00000252258,ENSMFAG00000058527
ENSG00000251702,ENSMFAG00000005532
ENSG00000277794,ENSMFAG00000060683
ENSG00000134765,ENSMFAG00000035735
ENSG00000102794,ENSMFAG00000043445
ENSG00000251753,ENSMFAG00000006166
ENSG00000183098,ENSMFAG00000044647
ENSG00000134760,ENSMFAG00000033359
ENSG00000080166,ENSMFAG00000044784
ENSG00000207019,ENSMFAG00000037402
ENSG00000154611,ENSMFAG00000011562
ENSG00000252335,ENSMFAG00000015540
ENSG00000200211,ENSMFAG00000052556
ENSG00000185352,ENSMFAG00000000214
ENSG00000242614,ENSMFAG00000019629
ENSG00000131196,ENSMFAG00000021920
ENSG00000198033,ENSMFAG00000037704
ENSG00000179399,ENSMFAG00000035829
ENSG00000183463,ENSMFAG00000043442
ENSG00000205863,ENSMFAG00000002446
ENSG00000205863,ENSMFAG00000039133
ENSG00000139618,ENSMFAG00000041961
ENSG00000153487,ENSMFAG00000043968
ENSG00000275788,ENSMFAG00000057082
ENSG00000201242,ENSMFAG00000050490
ENSG00000122034,ENSMFAG00000044837
ENSG00000053747,ENSMFAG00000045256
ENSG00000283199,ENSMFAG00000041359
ENSG00000265885,ENSMFAG00000017600
ENSG00000226792,ENSMFAG00000018059
ENSG00000200526,ENSMFAG00000051511
ENSG00000207500,ENSMFAG00000052477
ENSG00000207051,ENSMFAG00000009526
ENSG00000252247,ENSMFAG00000015541
ENSG00000141404,ENSMFAG00000044213
ENSG00000141434,ENSMFAG00000045964
ENSG00000167210,ENSMFAG00000037181
ENSG00000197641,ENSMFAG00000049388
ENSG00000206073,ENSMFAG00000043466
ENSG00000206073,ENSMFAG00000044526
ENSG00000206072,ENSMFAG00000043383
ENSG00000178690,ENSMFAG00000034603
ENSG00000187773,ENSMFAG00000024091
ENSG00000243856,ENSMFAG00000060365
ENSG00000206043,ENSMFAG00000029634
ENSG00000166634,ENSMFAG00000045116
ENSG00000251937,ENSMFAG00000006753
ENSG00000141391,ENSMFAG00000042024
ENSG00000206418,ENSMFAG00000043551
ENSG00000206181,ENSMFAG00000031695
ENSG00000206181,ENSMFAG00000031677
ENSG00000141759,ENSMFAG00000045793
ENSG00000101546,ENSMFAG00000045009
ENSG00000178184,ENSMFAG00000062674
ENSG00000200752,ENSMFAG00000022704
ENSG00000238575,ENSMFAG00000005260
ENSG00000202224,ENSMFAG00000050040
ENSG00000200875,ENSMFAG00000015511
ENSG00000091157,ENSMFAG00000033483
ENSG00000177143,ENSMFAG00000055277
ENSG00000206687,ENSMFAG00000036492
ENSG00000206422,ENSMFAG00000028007
ENSG00000183206,ENSMFAG00000061937
ENSG00000183206,ENSMFAG00000033345
ENSG00000183206,ENSMFAG00000063545
ENSG00000183206,ENSMFAG00000065529
ENSG00000183206,ENSMFAG00000001981
ENSG00000183206,ENSMFAG00000054294
ENSG00000200132,ENSMFAG00000049928
ENSG00000200132,ENSMFAG00000048130
ENSG00000200132,ENSMFAG00000057415
ENSG00000200132,ENSMFAG00000047809
ENSG00000200132,ENSMFAG00000059704
ENSG00000200645,ENSMFAG00000047952
ENSG00000242651,ENSMFAG00000014301
ENSG00000168454,ENSMFAG00000044621
ENSG00000154864,ENSMFAG00000030895
ENSG00000166960,ENSMFAG00000043745
ENSG00000207233,ENSMFAG00000022900
ENSG00000174448,ENSMFAG00000046022
ENSG00000200750,ENSMFAG00000036218
ENSG00000199977,ENSMFAG00000012281
ENSG00000283927,ENSMFAG00000013543
ENSG00000284453,ENSMFAG00000006758
ENSG00000200637,ENSMFAG00000005744
ENSG00000134443,ENSMFAG00000003937
ENSG00000134438,ENSMFAG00000036531
ENSG00000166569,ENSMFAG00000039514
ENSG00000197046,ENSMFAG00000031829
ENSG00000252034,ENSMFAG00000008136
ENSG00000251939,ENSMFAG00000019155
ENSG00000141431,ENSMFAG00000032715
ENSG00000221887,ENSMFAG00000035574
ENSG00000251992,ENSMFAG00000018679
ENSG00000252139,ENSMFAG00000030036
ENSG00000201668,ENSMFAG00000060419
ENSG00000240663,ENSMFAG00000011011
ENSG00000201466,ENSMFAG00000012615
ENSG00000222018,ENSMFAG00000027330
ENSG00000243627,ENSMFAG00000063086
ENSG00000079101,ENSMFAG00000038811
ENSG00000242550,ENSMFAG00000035673
ENSG00000236396,ENSMFAG00000034282
ENSG00000179981,ENSMFAG00000037350
ENSG00000252097,ENSMFAG00000036223
ENSG00000130856,ENSMFAG00000044643
ENSG00000275631,ENSMFAG00000018807
ENSG00000283904,ENSMFAG00000005871
ENSG00000212329,ENSMFAG00000056003
