human_gene,marmoset_gene
ENSG00000129824,ENSCJAG00000081678
ENSG00000154620,ENSCJAG00000087148
ENSG00000129864,ENSCJAG00000018850
ENSG00000129864,ENSCJAG00000055596
ENSG00000129864,ENSCJAG00000075429
ENSG00000129864,ENSCJAG00000082544
ENSG00000129864,ENSCJAG00000053609
ENSG00000129864,ENSCJAG00000000866
ENSG00000129864,ENSCJAG00000004073
ENSG00000251925,ENSCJAG00000034060
ENSG00000251796,ENSCJAG00000034060
ENSG00000252948,ENSCJAG00000075328
ENSG00000129862,ENSCJAG00000018850
ENSG00000129862,ENSCJAG00000055596
ENSG00000129862,ENSCJAG00000075429
ENSG00000129862,ENSCJAG00000082544
ENSG00000129862,ENSCJAG00000053609
ENSG00000129862,ENSCJAG00000000866
ENSG00000129862,ENSCJAG00000004073
ENSG00000099715,ENSCJAG00000003672
ENSG00000233803,ENSCJAG00000071986
ENSG00000233803,ENSCJAG00000072036
ENSG00000229549,ENSCJAG00000071986
ENSG00000229549,ENSCJAG00000072036
ENSG00000228927,ENSCJAG00000071986
ENSG00000228927,ENSCJAG00000072036
ENSG00000258992,ENSCJAG00000071986
ENSG00000258992,ENSCJAG00000072036
ENSG00000238074,ENSCJAG00000071986
ENSG00000238074,ENSCJAG00000072036
ENSG00000236424,ENSCJAG00000071986
ENSG00000236424,ENSCJAG00000072036
ENSG00000168757,ENSCJAG00000071986
ENSG00000168757,ENSCJAG00000072036
ENSG00000165246,ENSCJAG00000070902
ENSG00000165246,ENSCJAG00000082578
ENSG00000067048,ENSCJAG00000070436
ENSG00000067048,ENSCJAG00000086894
ENSG00000067048,ENSCJAG00000076197
ENSG00000067048,ENSCJAG00000087052
ENSG00000183878,ENSCJAG00000074089
ENSG00000012817,ENSCJAG00000082956
ENSG00000067646,ENSCJAG00000078569
ENSG00000198692,ENSCJAG00000005371
ENSG00000198692,ENSCJAG00000074080
ENSG00000154646,ENSCJAG00000003442
ENSG00000277282,ENSCJAG00000080397
ENSG00000277282,ENSCJAG00000084680
ENSG00000188694,ENSCJAG00000043903
ENSG00000154654,ENSCJAG00000013717
ENSG00000156284,ENSCJAG00000022699
ENSG00000159256,ENSCJAG00000002781
ENSG00000154645,ENSCJAG00000003437
ENSG00000277777,ENSCJAG00000076292
ENSG00000277777,ENSCJAG00000071864
ENSG00000277739,ENSCJAG00000085614
ENSG00000277739,ENSCJAG00000075589
ENSG00000277739,ENSCJAG00000077452
ENSG00000274484,ENSCJAG00000076292
ENSG00000274484,ENSCJAG00000071864
ENSG00000275215,ENSCJAG00000085614
ENSG00000275215,ENSCJAG00000075589
ENSG00000275215,ENSCJAG00000077452
ENSG00000276546,ENSCJAG00000076292
ENSG00000276546,ENSCJAG00000071864
ENSG00000278233,ENSCJAG00000085614
ENSG00000278233,ENSCJAG00000075589
ENSG00000278233,ENSCJAG00000077452
ENSG00000252199,ENSCJAG00000032843
ENSG00000274046,ENSCJAG00000076292
ENSG00000274046,ENSCJAG00000071864
ENSG00000264002,ENSCJAG00000043867
ENSG00000252462,ENSCJAG00000027004
ENSG00000200754,ENSCJAG00000071384
ENSG00000251851,ENSCJAG00000083715
ENSG00000212609,ENSCJAG00000072201
ENSG00000202339,ENSCJAG00000086230
ENSG00000199698,ENSCJAG00000086235
ENSG00000266195,ENSCJAG00000086490
ENSG00000207097,ENSCJAG00000081275
ENSG00000207097,ENSCJAG00000080147
ENSG00000207097,ENSCJAG00000085948
ENSG00000200792,ENSCJAG00000030480
ENSG00000159228,ENSCJAG00000038083
ENSG00000159263,ENSCJAG00000002704
ENSG00000212136,ENSCJAG00000043863
ENSG00000160208,ENSCJAG00000017077
ENSG00000160216,ENSCJAG00000086643
ENSG00000207503,ENSCJAG00000028208
ENSG00000274391,ENSCJAG00000017791
ENSG00000223287,ENSCJAG00000082761
ENSG00000183036,ENSCJAG00000086635
ENSG00000171587,ENSCJAG00000005540
ENSG00000207147,ENSCJAG00000030784
ENSG00000183421,ENSCJAG00000011251
ENSG00000160181,ENSCJAG00000007364
ENSG00000160182,ENSCJAG00000007371
ENSG00000160185,ENSCJAG00000007403
ENSG00000234289,ENSCJAG00000086908
ENSG00000142182,ENSCJAG00000087076
ENSG00000160226,ENSCJAG00000017611
ENSG00000266692,ENSCJAG00000087204
ENSG00000264452,ENSCJAG00000032998
ENSG00000215455,ENSCJAG00000052337
ENSG00000212935,ENSCJAG00000000296
ENSG00000241123,ENSCJAG00000052337
ENSG00000221859,ENSCJAG00000063198
ENSG00000243489,ENSCJAG00000041374
ENSG00000243489,ENSCJAG00000047635
ENSG00000221398,ENSCJAG00000033222
ENSG00000166351,ENSCJAG00000033335
ENSG00000177398,ENSCJAG00000007292
ENSG00000182591,ENSCJAG00000022606
ENSG00000238390,ENSCJAG00000030517
ENSG00000188992,ENSCJAG00000003201
ENSG00000221837,ENSCJAG00000000301
ENSG00000215454,ENSCJAG00000041374
ENSG00000215454,ENSCJAG00000047635
ENSG00000274790,ENSCJAG00000076292
ENSG00000274790,ENSCJAG00000071864
ENSG00000276902,ENSCJAG00000076292
ENSG00000276902,ENSCJAG00000071864
ENSG00000160294,ENSCJAG00000001770
ENSG00000204899,ENSCJAG00000079180
ENSG00000165837,ENSCJAG00000073347
ENSG00000150361,ENSCJAG00000016532
ENSG00000202239,ENSCJAG00000047649
ENSG00000284448,ENSCJAG00000042072
ENSG00000182670,ENSCJAG00000002640
ENSG00000150893,ENSCJAG00000017883
ENSG00000204918,ENSCJAG00000003713
ENSG00000227151,ENSCJAG00000003713
ENSG00000234278,ENSCJAG00000003713
ENSG00000174015,ENSCJAG00000042308
ENSG00000152192,ENSCJAG00000040854
ENSG00000188811,ENSCJAG00000017851
ENSG00000102837,ENSCJAG00000003690
ENSG00000204919,ENSCJAG00000003713
ENSG00000139734,ENSCJAG00000003729
ENSG00000197683,ENSCJAG00000038290
ENSG00000244025,ENSCJAG00000038921
ENSG00000186925,ENSCJAG00000086841
ENSG00000244624,ENSCJAG00000043708
ENSG00000201025,ENSCJAG00000029937
ENSG00000207638,ENSCJAG00000028975
ENSG00000199030,ENSCJAG00000026996
ENSG00000207863,ENSCJAG00000027577
ENSG00000186971,ENSCJAG00000008784
ENSG00000207098,ENSCJAG00000075237
ENSG00000160299,ENSCJAG00000075934
ENSG00000159140,ENSCJAG00000046975
ENSG00000118946,ENSCJAG00000003715
ENSG00000136141,ENSCJAG00000009392
ENSG00000229665,ENSCJAG00000003713
ENSG00000184564,ENSCJAG00000003187
ENSG00000041515,ENSCJAG00000014617
ENSG00000180530,ENSCJAG00000077498
ENSG00000159200,ENSCJAG00000002838
ENSG00000185950,ENSCJAG00000042782
ENSG00000153498,ENSCJAG00000071735
ENSG00000204442,ENSCJAG00000014696
ENSG00000185974,ENSCJAG00000006957
ENSG00000122042,ENSCJAG00000019517
ENSG00000171189,ENSCJAG00000008672
ENSG00000179813,ENSCJAG00000079498
ENSG00000276183,ENSCJAG00000081275
ENSG00000276183,ENSCJAG00000080147
ENSG00000276183,ENSCJAG00000085948
ENSG00000199196,ENSCJAG00000026191
ENSG00000252397,ENSCJAG00000034385
ENSG00000212553,ENSCJAG00000086027
ENSG00000207458,ENSCJAG00000080865
ENSG00000244521,ENSCJAG00000043619
ENSG00000241613,ENSCJAG00000043126
ENSG00000222733,ENSCJAG00000075063
ENSG00000239003,ENSCJAG00000076847
ENSG00000206854,ENSCJAG00000074731
ENSG00000265745,ENSCJAG00000072430
ENSG00000243671,ENSCJAG00000047809
ENSG00000206922,ENSCJAG00000073544
ENSG00000199282,ENSCJAG00000024081
ENSG00000206697,ENSCJAG00000070674
ENSG00000201253,ENSCJAG00000076383
ENSG00000200267,ENSCJAG00000071354
ENSG00000199381,ENSCJAG00000032095
ENSG00000207495,ENSCJAG00000048554
ENSG00000202398,ENSCJAG00000079441
ENSG00000206800,ENSCJAG00000079135
ENSG00000222486,ENSCJAG00000025401
ENSG00000200686,ENSCJAG00000039297
ENSG00000206812,ENSCJAG00000027448
ENSG00000222791,ENSCJAG00000081892
ENSG00000200733,ENSCJAG00000086702
ENSG00000243366,ENSCJAG00000075697
ENSG00000201847,ENSCJAG00000045428
ENSG00000200072,ENSCJAG00000070700
ENSG00000253094,ENSCJAG00000071205
ENSG00000253094,ENSCJAG00000077426
ENSG00000253094,ENSCJAG00000071920
ENSG00000277233,ENSCJAG00000048267
ENSG00000283785,ENSCJAG00000027196
ENSG00000206802,ENSCJAG00000078698
ENSG00000150510,ENSCJAG00000008541
ENSG00000288593,ENSCJAG00000080531
ENSG00000189167,ENSCJAG00000018479
ENSG00000180138,ENSCJAG00000018001
ENSG00000133111,ENSCJAG00000072585
ENSG00000240767,ENSCJAG00000036802
ENSG00000223336,ENSCJAG00000076961
ENSG00000215475,ENSCJAG00000023214
ENSG00000159197,ENSCJAG00000076763
ENSG00000253051,ENSCJAG00000032308
ENSG00000199477,ENSCJAG00000028189
ENSG00000207203,ENSCJAG00000070423
ENSG00000178235,ENSCJAG00000021725
ENSG00000244264,ENSCJAG00000042225
ENSG00000165572,ENSCJAG00000017764
ENSG00000223280,ENSCJAG00000077784
ENSG00000166265,ENSCJAG00000044367
ENSG00000241406,ENSCJAG00000036337
ENSG00000206962,ENSCJAG00000078154
ENSG00000125249,ENSCJAG00000078079
ENSG00000125249,ENSCJAG00000071851
ENSG00000160202,ENSCJAG00000070733
ENSG00000201821,ENSCJAG00000076109
ENSG00000199767,ENSCJAG00000083121
ENSG00000180730,ENSCJAG00000056356
ENSG00000133105,ENSCJAG00000018522
ENSG00000073910,ENSCJAG00000018482
ENSG00000222148,ENSCJAG00000075063
ENSG00000200064,ENSCJAG00000075063
ENSG00000253797,ENSCJAG00000084286
ENSG00000253797,ENSCJAG00000008414
ENSG00000243900,ENSCJAG00000044039
ENSG00000242893,ENSCJAG00000073968
ENSG00000125245,ENSCJAG00000065240
ENSG00000102524,ENSCJAG00000014666
ENSG00000132932,ENSCJAG00000019263
ENSG00000151835,ENSCJAG00000018745
ENSG00000231824,ENSCJAG00000042385
ENSG00000132874,ENSCJAG00000004051
ENSG00000178695,ENSCJAG00000041977
ENSG00000102805,ENSCJAG00000021191
ENSG00000134489,ENSCJAG00000020684
ENSG00000253309,ENSCJAG00000008536
ENSG00000177511,ENSCJAG00000003917
ENSG00000139780,ENSCJAG00000020113
ENSG00000125255,ENSCJAG00000020061
ENSG00000228075,ENSCJAG00000031971
ENSG00000228075,ENSCJAG00000071032
ENSG00000199605,ENSCJAG00000027124
ENSG00000081138,ENSCJAG00000002895
ENSG00000201245,ENSCJAG00000073675
ENSG00000043355,ENSCJAG00000020988
ENSG00000139800,ENSCJAG00000040575
ENSG00000169840,ENSCJAG00000080181
ENSG00000207330,ENSCJAG00000084838
ENSG00000166603,ENSCJAG00000022877
ENSG00000139515,ENSCJAG00000078316
ENSG00000172915,ENSCJAG00000018225
ENSG00000101542,ENSCJAG00000003409
ENSG00000141428,ENSCJAG00000021041
ENSG00000141424,ENSCJAG00000021051
ENSG00000207518,ENSCJAG00000078787
ENSG00000102678,ENSCJAG00000041037
ENSG00000244197,ENSCJAG00000035788
ENSG00000153531,ENSCJAG00000075654
ENSG00000197971,ENSCJAG00000047439
ENSG00000275014,ENSCJAG00000044271
ENSG00000132958,ENSCJAG00000017791
ENSG00000273964,ENSCJAG00000069198
ENSG00000202237,ENSCJAG00000078007
ENSG00000120659,ENSCJAG00000083138
ENSG00000253710,ENSCJAG00000036951
ENSG00000173988,ENSCJAG00000016849
ENSG00000285566,ENSCJAG00000076983
ENSG00000280165,ENSCJAG00000016415
ENSG00000212293,ENSCJAG00000023575
ENSG00000207474,ENSCJAG00000068226
ENSG00000132972,ENSCJAG00000018937
ENSG00000102471,ENSCJAG00000053620
ENSG00000243591,ENSCJAG00000042140
ENSG00000199856,ENSCJAG00000026441
ENSG00000251897,ENSCJAG00000047893
ENSG00000251994,ENSCJAG00000065120
ENSG00000212626,ENSCJAG00000025159
ENSG00000207092,ENSCJAG00000070588
ENSG00000242216,ENSCJAG00000036259
ENSG00000207160,ENSCJAG00000074201
ENSG00000199636,ENSCJAG00000025590
ENSG00000199204,ENSCJAG00000078885
ENSG00000207797,ENSCJAG00000029226
ENSG00000253038,ENSCJAG00000070443
ENSG00000206944,ENSCJAG00000080158
ENSG00000206944,ENSCJAG00000071733
ENSG00000206865,ENSCJAG00000078266
ENSG00000212539,ENSCJAG00000023703
ENSG00000206769,ENSCJAG00000080581
ENSG00000206769,ENSCJAG00000034994
ENSG00000239398,ENSCJAG00000042362
ENSG00000202468,ENSCJAG00000077599
ENSG00000252555,ENSCJAG00000027854
ENSG00000206746,ENSCJAG00000075410
ENSG00000243549,ENSCJAG00000037761
ENSG00000239748,ENSCJAG00000035591
ENSG00000199728,ENSCJAG00000033274
ENSG00000201723,ENSCJAG00000079738
ENSG00000201723,ENSCJAG00000076999
ENSG00000201825,ENSCJAG00000072312
ENSG00000207298,ENSCJAG00000023744
ENSG00000206617,ENSCJAG00000072519
ENSG00000206617,ENSCJAG00000083601
ENSG00000206617,ENSCJAG00000071132
ENSG00000186009,ENSCJAG00000006956
ENSG00000186047,ENSCJAG00000074671
ENSG00000207240,ENSCJAG00000086944
ENSG00000243035,ENSCJAG00000042410
ENSG00000139737,ENSCJAG00000021252
ENSG00000202093,ENSCJAG00000052995
ENSG00000206602,ENSCJAG00000052848
ENSG00000271982,ENSCJAG00000059042
ENSG00000207154,ENSCJAG00000083599
ENSG00000176624,ENSCJAG00000072158
ENSG00000119547,ENSCJAG00000076587
ENSG00000284440,ENSCJAG00000024611
ENSG00000201598,ENSCJAG00000034755
ENSG00000199713,ENSCJAG00000057722
ENSG00000173482,ENSCJAG00000015472
ENSG00000133116,ENSCJAG00000018421
ENSG00000136099,ENSCJAG00000045669
ENSG00000223024,ENSCJAG00000082761
ENSG00000206787,ENSCJAG00000079676
ENSG00000206787,ENSCJAG00000041700
ENSG00000276644,ENSCJAG00000021093
ENSG00000201155,ENSCJAG00000024191
ENSG00000201690,ENSCJAG00000032796
ENSG00000201690,ENSCJAG00000028388
ENSG00000200840,ENSCJAG00000079255
ENSG00000083635,ENSCJAG00000019195
ENSG00000154856,ENSCJAG00000076724
ENSG00000265802,ENSCJAG00000039130
ENSG00000180332,ENSCJAG00000056150
ENSG00000151846,ENSCJAG00000018953
ENSG00000165566,ENSCJAG00000019200
ENSG00000120669,ENSCJAG00000018188
ENSG00000252677,ENSCJAG00000035094
ENSG00000171791,ENSCJAG00000042791
ENSG00000181626,ENSCJAG00000010642
ENSG00000242715,ENSCJAG00000031495
ENSG00000200827,ENSCJAG00000074640
ENSG00000176194,ENSCJAG00000004814
ENSG00000199702,ENSCJAG00000028164
ENSG00000242707,ENSCJAG00000045494
ENSG00000207034,ENSCJAG00000080303
ENSG00000207034,ENSCJAG00000084693
ENSG00000207034,ENSCJAG00000084219
ENSG00000252258,ENSCJAG00000034168
ENSG00000252258,ENSCJAG00000029175
ENSG00000252353,ENSCJAG00000070795
ENSG00000102794,ENSCJAG00000021189
ENSG00000251753,ENSCJAG00000034697
ENSG00000183098,ENSCJAG00000003215
ENSG00000134760,ENSCJAG00000020778
ENSG00000080166,ENSCJAG00000003225
ENSG00000207019,ENSCJAG00000080562
ENSG00000154611,ENSCJAG00000020707
ENSG00000274168,ENSCJAG00000044106
ENSG00000125285,ENSCJAG00000046080
ENSG00000252335,ENSCJAG00000051310
ENSG00000185352,ENSCJAG00000052214
ENSG00000242614,ENSCJAG00000039943
ENSG00000131196,ENSCJAG00000023446
ENSG00000198033,ENSCJAG00000066131
ENSG00000198033,ENSCJAG00000070363
ENSG00000179399,ENSCJAG00000003211
ENSG00000139618,ENSCJAG00000018462
ENSG00000153487,ENSCJAG00000014168
ENSG00000275788,ENSCJAG00000051916
ENSG00000122034,ENSCJAG00000077697
ENSG00000139797,ENSCJAG00000004501
ENSG00000053747,ENSCJAG00000020598
ENSG00000283199,ENSCJAG00000033547
ENSG00000265885,ENSCJAG00000044525
ENSG00000226792,ENSCJAG00000086462
ENSG00000207500,ENSCJAG00000067027
ENSG00000207051,ENSCJAG00000029394
ENSG00000141404,ENSCJAG00000004728
ENSG00000141434,ENSCJAG00000020878
ENSG00000222395,ENSCJAG00000023475
ENSG00000167210,ENSCJAG00000008221
ENSG00000197641,ENSCJAG00000006802
ENSG00000206073,ENSCJAG00000006825
ENSG00000206072,ENSCJAG00000006731
ENSG00000178690,ENSCJAG00000004179
ENSG00000187773,ENSCJAG00000003178
ENSG00000243856,ENSCJAG00000047615
ENSG00000206043,ENSCJAG00000003172
ENSG00000166634,ENSCJAG00000035996
ENSG00000251937,ENSCJAG00000070726
ENSG00000141391,ENSCJAG00000004931
ENSG00000206418,ENSCJAG00000015468
ENSG00000141759,ENSCJAG00000010130
ENSG00000101546,ENSCJAG00000072239
ENSG00000101546,ENSCJAG00000010125
ENSG00000178184,ENSCJAG00000023142
ENSG00000200752,ENSCJAG00000078655
ENSG00000238575,ENSCJAG00000029661
ENSG00000200875,ENSCJAG00000083313
ENSG00000091157,ENSCJAG00000003937
ENSG00000177143,ENSCJAG00000081806
ENSG00000206687,ENSCJAG00000027907
ENSG00000206422,ENSCJAG00000015552
ENSG00000183206,ENSCJAG00000033335
ENSG00000200645,ENSCJAG00000081275
ENSG00000200645,ENSCJAG00000080147
ENSG00000200645,ENSCJAG00000085948
ENSG00000168454,ENSCJAG00000085038
ENSG00000154864,ENSCJAG00000004648
ENSG00000166960,ENSCJAG00000020902
ENSG00000207233,ENSCJAG00000029938
ENSG00000200750,ENSCJAG00000027663
ENSG00000242971,ENSCJAG00000043043
ENSG00000199977,ENSCJAG00000025006
ENSG00000283927,ENSCJAG00000029861
ENSG00000252325,ENSCJAG00000079832
ENSG00000134443,ENSCJAG00000003515
ENSG00000134438,ENSCJAG00000003509
ENSG00000166569,ENSCJAG00000038431
ENSG00000197046,ENSCJAG00000008603
ENSG00000252034,ENSCJAG00000078277
ENSG00000251939,ENSCJAG00000080902
ENSG00000141431,ENSCJAG00000020922
ENSG00000221887,ENSCJAG00000073274
ENSG00000201668,ENSCJAG00000029551
ENSG00000201466,ENSCJAG00000083479
ENSG00000222018,ENSCJAG00000022487
ENSG00000243627,ENSCJAG00000002854
ENSG00000079101,ENSCJAG00000000140
ENSG00000242550,ENSCJAG00000042748
ENSG00000236396,ENSCJAG00000000757
ENSG00000179981,ENSCJAG00000046603
ENSG00000130856,ENSCJAG00000008039
ENSG00000275631,ENSCJAG00000029067
ENSG00000283904,ENSCJAG00000024458
ENSG00000212329,ENSCJAG00000082761
ENSG00000173213,ENSCJAG00000045041
ENSG00000173213,ENSCJAG00000048223
ENSG00000173213,ENSCJAG00000043859
ENSG00000173213,ENSCJAG00000040905
ENSG00000180011,ENSCJAG00000003219
ENSG00000241223,ENSCJAG00000048469
ENSG00000207278,ENSCJAG00000078791
ENSG00000170579,ENSCJAG00000012856
ENSG00000205726,ENSCJAG00000002882
ENSG00000187323,ENSCJAG00000001868
ENSG00000171873,ENSCJAG00000021251
ENSG00000125903,ENSCJAG00000020824
ENSG00000199357,ENSCJAG00000084969
ENSG00000199357,ENSCJAG00000071560
ENSG00000173404,ENSCJAG00000040556
ENSG00000185982,ENSCJAG00000075637
ENSG00000067900,ENSCJAG00000020477
ENSG00000125788,ENSCJAG00000080793
ENSG00000132640,ENSCJAG00000058374
ENSG00000101230,ENSCJAG00000004583
ENSG00000241866,ENSCJAG00000036103
ENSG00000170369,ENSCJAG00000000676
ENSG00000215397,ENSCJAG00000020870
ENSG00000222087,ENSCJAG00000081275
ENSG00000222087,ENSCJAG00000080147
ENSG00000222087,ENSCJAG00000085948
ENSG00000242182,ENSCJAG00000044050
ENSG00000223023,ENSCJAG00000073116
ENSG00000201816,ENSCJAG00000025643
ENSG00000158445,ENSCJAG00000022600
ENSG00000124089,ENSCJAG00000011249
ENSG00000054803,ENSCJAG00000080243
ENSG00000141437,ENSCJAG00000010651
ENSG00000130701,ENSCJAG00000014173
ENSG00000222320,ENSCJAG00000076705
ENSG00000206863,ENSCJAG00000073230
ENSG00000273524,ENSCJAG00000038312
ENSG00000206766,ENSCJAG00000078423
ENSG00000212051,ENSCJAG00000028293
ENSG00000124225,ENSCJAG00000086391
ENSG00000101115,ENSCJAG00000000591
ENSG00000101115,ENSCJAG00000021107
ENSG00000179242,ENSCJAG00000042612
ENSG00000184402,ENSCJAG00000014377
ENSG00000196074,ENSCJAG00000018836
ENSG00000130702,ENSCJAG00000074394
ENSG00000252096,ENSCJAG00000034089
ENSG00000212165,ENSCJAG00000030168
ENSG00000278525,ENSCJAG00000037816
ENSG00000207355,ENSCJAG00000085467
ENSG00000264879,ENSCJAG00000067118
ENSG00000283291,ENSCJAG00000024848
ENSG00000200231,ENSCJAG00000034378
ENSG00000275305,ENSCJAG00000078440
ENSG00000199676,ENSCJAG00000065795
ENSG00000207053,ENSCJAG00000060223
ENSG00000206801,ENSCJAG00000075562
ENSG00000283433,ENSCJAG00000078440
ENSG00000240474,ENSCJAG00000041833
ENSG00000252467,ENSCJAG00000085090
ENSG00000252467,ENSCJAG00000076259
ENSG00000252654,ENSCJAG00000072958
ENSG00000202186,ENSCJAG00000077183
ENSG00000207158,ENSCJAG00000076049
ENSG00000238777,ENSCJAG00000078617
ENSG00000199017,ENSCJAG00000028067
ENSG00000201742,ENSCJAG00000076881
ENSG00000124232,ENSCJAG00000017526
ENSG00000124251,ENSCJAG00000017512
ENSG00000201984,ENSCJAG00000070175
ENSG00000212479,ENSCJAG00000051880
ENSG00000101162,ENSCJAG00000018914
ENSG00000125975,ENSCJAG00000017799
ENSG00000160282,ENSCJAG00000080609
ENSG00000252549,ENSCJAG00000063548
ENSG00000197296,ENSCJAG00000017787
ENSG00000241229,ENSCJAG00000036996
ENSG00000201021,ENSCJAG00000038433
ENSG00000201372,ENSCJAG00000087280
ENSG00000125879,ENSCJAG00000004842
ENSG00000100365,ENSCJAG00000013982
ENSG00000207598,ENSCJAG00000045768
ENSG00000101197,ENSCJAG00000009955
ENSG00000241945,ENSCJAG00000005570
ENSG00000101204,ENSCJAG00000010168
ENSG00000100346,ENSCJAG00000044108
ENSG00000125863,ENSCJAG00000021355
ENSG00000142156,ENSCJAG00000078346
ENSG00000199497,ENSCJAG00000023599
ENSG00000126003,ENSCJAG00000044979
ENSG00000125998,ENSCJAG00000017842
ENSG00000202255,ENSCJAG00000083374
ENSG00000101405,ENSCJAG00000074925
ENSG00000160223,ENSCJAG00000003576
ENSG00000101200,ENSCJAG00000021094
ENSG00000263905,ENSCJAG00000039103
ENSG00000201294,ENSCJAG00000080274
ENSG00000201346,ENSCJAG00000027792
ENSG00000201770,ENSCJAG00000086390
ENSG00000179772,ENSCJAG00000023288
ENSG00000212555,ENSCJAG00000067570
ENSG00000125850,ENSCJAG00000005049
ENSG00000159267,ENSCJAG00000002697
ENSG00000212232,ENSCJAG00000085541
ENSG00000207282,ENSCJAG00000075431
ENSG00000266720,ENSCJAG00000069600
ENSG00000266720,ENSCJAG00000086511
ENSG00000266720,ENSCJAG00000036034
ENSG00000252635,ENSCJAG00000025239
ENSG00000232838,ENSCJAG00000040178
ENSG00000159261,ENSCJAG00000002769
ENSG00000125900,ENSCJAG00000064285
ENSG00000124104,ENSCJAG00000017344
ENSG00000176177,ENSCJAG00000002696
ENSG00000160179,ENSCJAG00000033076
ENSG00000128342,ENSCJAG00000010302
ENSG00000100106,ENSCJAG00000012438
ENSG00000277051,ENSCJAG00000073852
ENSG00000240639,ENSCJAG00000036665
ENSG00000212517,ENSCJAG00000024337
ENSG00000101292,ENSCJAG00000075683
ENSG00000125888,ENSCJAG00000004945
ENSG00000222612,ENSCJAG00000024985
ENSG00000198900,ENSCJAG00000018101
ENSG00000263989,ENSCJAG00000082421
ENSG00000171864,ENSCJAG00000046612
ENSG00000283527,ENSCJAG00000061092
ENSG00000188636,ENSCJAG00000022802
ENSG00000252386,ENSCJAG00000028383
ENSG00000130943,ENSCJAG00000040524
ENSG00000212224,ENSCJAG00000024748
ENSG00000124107,ENSCJAG00000017558
ENSG00000101446,ENSCJAG00000017400
ENSG00000138944,ENSCJAG00000008436
ENSG00000142178,ENSCJAG00000015879
ENSG00000101448,ENSCJAG00000084523
ENSG00000276138,ENSCJAG00000081275
ENSG00000276138,ENSCJAG00000080147
ENSG00000276138,ENSCJAG00000085948
ENSG00000276871,ENSCJAG00000024848
ENSG00000278188,ENSCJAG00000081275
ENSG00000278188,ENSCJAG00000080147
ENSG00000278188,ENSCJAG00000085948
ENSG00000277248,ENSCJAG00000062459
ENSG00000200443,ENSCJAG00000032548
ENSG00000199797,ENSCJAG00000084235
ENSG00000209482,ENSCJAG00000080900
ENSG00000209482,ENSCJAG00000073313
ENSG00000209482,ENSCJAG00000072506
ENSG00000209480,ENSCJAG00000081614
ENSG00000209480,ENSCJAG00000072219
ENSG00000209480,ENSCJAG00000085002
ENSG00000263764,ENSCJAG00000060133
ENSG00000124116,ENSCJAG00000017367
ENSG00000159216,ENSCJAG00000002816
ENSG00000128276,ENSCJAG00000015306
ENSG00000240647,ENSCJAG00000046793
ENSG00000196431,ENSCJAG00000008564
ENSG00000101470,ENSCJAG00000017357
ENSG00000160233,ENSCJAG00000081918
ENSG00000157617,ENSCJAG00000079596
ENSG00000157617,ENSCJAG00000013827
ENSG00000101188,ENSCJAG00000041245
ENSG00000206797,ENSCJAG00000029684
ENSG00000124098,ENSCJAG00000041865
ENSG00000133454,ENSCJAG00000003112
