mouse_gene,macaque_gene
ENSMUSG00000096756,ENSMFAG00000051805
ENSMUSG00000095672,ENSMFAG00000034455
ENSMUSG00000095505,ENSMFAG00000037490
ENSMUSG00000095505,ENSMFAG00000037280
ENSMUSG00000095505,ENSMFAG00000003419
ENSMUSG00000095505,ENSMFAG00000039073
ENSMUSG00000095505,ENSMFAG00000031578
ENSMUSG00000095505,ENSMFAG00000064937
ENSMUSG00000095505,ENSMFAG00000042798
ENSMUSG00000095505,ENSMFAG00000032967
ENSMUSG00000095505,ENSMFAG00000051805
ENSMUSG00000094474,ENSMFAG00000037490
ENSMUSG00000094474,ENSMFAG00000037280
ENSMUSG00000094474,ENSMFAG00000003419
ENSMUSG00000094474,ENSMFAG00000039073
ENSMUSG00000094474,ENSMFAG00000031578
ENSMUSG00000094474,ENSMFAG00000064937
ENSMUSG00000094474,ENSMFAG00000042798
ENSMUSG00000094474,ENSMFAG00000032967
ENSMUSG00000094474,ENSMFAG00000051805
ENSMUSG00000094799,ENSMFAG00000034455
ENSMUSG00000095570,ENSMFAG00000037490
ENSMUSG00000095570,ENSMFAG00000037280
ENSMUSG00000095570,ENSMFAG00000003419
ENSMUSG00000095570,ENSMFAG00000039073
ENSMUSG00000095570,ENSMFAG00000031578
ENSMUSG00000095570,ENSMFAG00000064937
ENSMUSG00000095570,ENSMFAG00000042798
ENSMUSG00000095570,ENSMFAG00000032967
ENSMUSG00000095570,ENSMFAG00000051805
ENSMUSG00000094791,ENSMFAG00000037490
ENSMUSG00000094791,ENSMFAG00000037280
ENSMUSG00000094791,ENSMFAG00000003419
ENSMUSG00000094791,ENSMFAG00000039073
ENSMUSG00000094791,ENSMFAG00000031578
ENSMUSG00000094791,ENSMFAG00000064937
ENSMUSG00000094791,ENSMFAG00000042798
ENSMUSG00000094791,ENSMFAG00000032967
ENSMUSG00000094791,ENSMFAG00000051805
ENSMUSG00000094514,ENSMFAG00000030689
ENSMUSG00000096728,ENSMFAG00000037490
ENSMUSG00000096728,ENSMFAG00000037280
ENSMUSG00000096728,ENSMFAG00000003419
ENSMUSG00000096728,ENSMFAG00000039073
ENSMUSG00000096728,ENSMFAG00000031578
ENSMUSG00000096728,ENSMFAG00000064937
ENSMUSG00000096728,ENSMFAG00000042798
ENSMUSG00000096728,ENSMFAG00000032967
ENSMUSG00000096728,ENSMFAG00000051805
ENSMUSG00000096808,ENSMFAG00000048224
ENSMUSG00000096808,ENSMFAG00000057605
ENSMUSG00000096808,ENSMFAG00000048998
ENSMUSG00000096808,ENSMFAG00000051896
ENSMUSG00000096550,ENSMFAG00000037490
ENSMUSG00000096550,ENSMFAG00000037280
ENSMUSG00000096550,ENSMFAG00000003419
ENSMUSG00000096550,ENSMFAG00000039073
ENSMUSG00000096550,ENSMFAG00000031578
ENSMUSG00000096550,ENSMFAG00000064937
ENSMUSG00000096550,ENSMFAG00000042798
ENSMUSG00000096550,ENSMFAG00000032967
ENSMUSG00000096550,ENSMFAG00000051805
ENSMUSG00000094172,ENSMFAG00000037490
ENSMUSG00000094172,ENSMFAG00000037280
ENSMUSG00000094172,ENSMFAG00000003419
ENSMUSG00000094172,ENSMFAG00000039073
ENSMUSG00000094172,ENSMFAG00000031578
ENSMUSG00000094172,ENSMFAG00000064937
ENSMUSG00000094172,ENSMFAG00000042798
ENSMUSG00000094172,ENSMFAG00000032967
ENSMUSG00000094172,ENSMFAG00000051805
ENSMUSG00000094887,ENSMFAG00000037490
ENSMUSG00000094887,ENSMFAG00000037280
ENSMUSG00000094887,ENSMFAG00000003419
ENSMUSG00000094887,ENSMFAG00000039073
ENSMUSG00000094887,ENSMFAG00000031578
ENSMUSG00000094887,ENSMFAG00000064937
ENSMUSG00000094887,ENSMFAG00000042798
ENSMUSG00000094887,ENSMFAG00000032967
ENSMUSG00000094887,ENSMFAG00000051805
ENSMUSG00000091585,ENSMFAG00000037490
ENSMUSG00000091585,ENSMFAG00000037280
ENSMUSG00000091585,ENSMFAG00000003419
ENSMUSG00000091585,ENSMFAG00000039073
ENSMUSG00000091585,ENSMFAG00000031578
ENSMUSG00000091585,ENSMFAG00000064937
ENSMUSG00000091585,ENSMFAG00000042798
ENSMUSG00000091585,ENSMFAG00000032967
ENSMUSG00000091585,ENSMFAG00000051805
ENSMUSG00000095763,ENSMFAG00000037490
ENSMUSG00000095763,ENSMFAG00000037280
ENSMUSG00000095763,ENSMFAG00000003419
ENSMUSG00000095763,ENSMFAG00000039073
ENSMUSG00000095763,ENSMFAG00000031578
ENSMUSG00000095763,ENSMFAG00000064937
ENSMUSG00000095763,ENSMFAG00000042798
ENSMUSG00000095763,ENSMFAG00000032967
ENSMUSG00000095763,ENSMFAG00000051805
ENSMUSG00000095523,ENSMFAG00000037490
ENSMUSG00000095523,ENSMFAG00000037280
ENSMUSG00000095523,ENSMFAG00000003419
ENSMUSG00000095523,ENSMFAG00000039073
ENSMUSG00000095523,ENSMFAG00000031578
ENSMUSG00000095523,ENSMFAG00000064937
ENSMUSG00000095523,ENSMFAG00000042798
ENSMUSG00000095523,ENSMFAG00000032967
ENSMUSG00000095523,ENSMFAG00000051805
ENSMUSG00000095475,ENSMFAG00000037490
ENSMUSG00000095475,ENSMFAG00000037280
ENSMUSG00000095475,ENSMFAG00000003419
ENSMUSG00000095475,ENSMFAG00000039073
ENSMUSG00000095475,ENSMFAG00000031578
ENSMUSG00000095475,ENSMFAG00000064937
ENSMUSG00000095475,ENSMFAG00000042798
ENSMUSG00000095475,ENSMFAG00000032967
ENSMUSG00000095475,ENSMFAG00000051805
ENSMUSG00000094855,ENSMFAG00000037490
ENSMUSG00000094855,ENSMFAG00000037280
ENSMUSG00000094855,ENSMFAG00000003419
ENSMUSG00000094855,ENSMFAG00000039073
ENSMUSG00000094855,ENSMFAG00000031578
ENSMUSG00000094855,ENSMFAG00000064937
ENSMUSG00000094855,ENSMFAG00000042798
ENSMUSG00000094855,ENSMFAG00000032967
ENSMUSG00000094855,ENSMFAG00000051805
ENSMUSG00000095634,ENSMFAG00000000052
ENSMUSG00000095634,ENSMFAG00000051241
ENSMUSG00000100032,ENSMFAG00000037508
ENSMUSG00000100535,ENSMFAG00000037508
ENSMUSG00000099782,ENSMFAG00000037508
ENSMUSG00000101157,ENSMFAG00000037508
ENSMUSG00000094575,ENSMFAG00000000052
ENSMUSG00000094575,ENSMFAG00000051241
ENSMUSG00000101146,ENSMFAG00000037508
ENSMUSG00000100902,ENSMFAG00000037508
ENSMUSG00000100892,ENSMFAG00000037508
ENSMUSG00000096898,ENSMFAG00000000052
ENSMUSG00000096898,ENSMFAG00000051241
ENSMUSG00000094739,ENSMFAG00000000052
ENSMUSG00000094739,ENSMFAG00000051241
ENSMUSG00000101471,ENSMFAG00000037508
ENSMUSG00000095650,ENSMFAG00000000052
ENSMUSG00000095650,ENSMFAG00000051241
ENSMUSG00000100240,ENSMFAG00000037508
ENSMUSG00000102122,ENSMFAG00000037508
ENSMUSG00000099856,ENSMFAG00000037508
ENSMUSG00000094729,ENSMFAG00000000052
ENSMUSG00000094729,ENSMFAG00000051241
ENSMUSG00000100045,ENSMFAG00000037508
ENSMUSG00000093950,ENSMFAG00000000052
ENSMUSG00000093950,ENSMFAG00000051241
ENSMUSG00000100856,ENSMFAG00000037508
ENSMUSG00000101766,ENSMFAG00000037508
ENSMUSG00000095785,ENSMFAG00000000052
ENSMUSG00000095785,ENSMFAG00000051241
ENSMUSG00000093993,ENSMFAG00000037508
ENSMUSG00000096666,ENSMFAG00000000052
ENSMUSG00000096666,ENSMFAG00000051241
ENSMUSG00000095302,ENSMFAG00000000052
ENSMUSG00000095302,ENSMFAG00000051241
ENSMUSG00000096016,ENSMFAG00000037508
ENSMUSG00000103919,ENSMFAG00000037508
ENSMUSG00000093868,ENSMFAG00000000052
ENSMUSG00000093868,ENSMFAG00000051241
ENSMUSG00000101667,ENSMFAG00000057622
ENSMUSG00000093918,ENSMFAG00000057622
ENSMUSG00000094511,ENSMFAG00000057622
ENSMUSG00000093987,ENSMFAG00000057622
ENSMUSG00000095948,ENSMFAG00000057622
ENSMUSG00000096520,ENSMFAG00000057622
ENSMUSG00000093927,ENSMFAG00000000052
ENSMUSG00000093927,ENSMFAG00000051241
ENSMUSG00000095148,ENSMFAG00000000052
ENSMUSG00000095148,ENSMFAG00000051241
ENSMUSG00000096686,ENSMFAG00000000052
ENSMUSG00000096686,ENSMFAG00000051241
ENSMUSG00000100939,ENSMFAG00000037508
ENSMUSG00000094081,ENSMFAG00000000052
ENSMUSG00000094081,ENSMFAG00000051241
ENSMUSG00000100645,ENSMFAG00000037508
ENSMUSG00000099861,ENSMFAG00000000052
ENSMUSG00000099861,ENSMFAG00000051241
ENSMUSG00000095324,ENSMFAG00000000052
ENSMUSG00000095324,ENSMFAG00000051241
ENSMUSG00000101928,ENSMFAG00000037508
ENSMUSG00000101053,ENSMFAG00000000052
ENSMUSG00000101053,ENSMFAG00000051241
ENSMUSG00000095032,ENSMFAG00000000052
ENSMUSG00000095032,ENSMFAG00000051241
ENSMUSG00000095242,ENSMFAG00000000052
ENSMUSG00000095242,ENSMFAG00000051241
ENSMUSG00000094838,ENSMFAG00000000052
ENSMUSG00000094838,ENSMFAG00000051241
ENSMUSG00000095172,ENSMFAG00000000052
ENSMUSG00000095172,ENSMFAG00000051241
ENSMUSG00000094294,ENSMFAG00000000052
ENSMUSG00000094294,ENSMFAG00000051241
ENSMUSG00000093848,ENSMFAG00000000052
ENSMUSG00000093848,ENSMFAG00000051241
ENSMUSG00000053211,ENSMFAG00000037822
ENSMUSG00000053211,ENSMFAG00000034292
ENSMUSG00000053211,ENSMFAG00000032589
ENSMUSG00000053211,ENSMFAG00000045479
ENSMUSG00000053211,ENSMFAG00000004631
ENSMUSG00000053211,ENSMFAG00000035378
ENSMUSG00000053211,ENSMFAG00000036857
ENSMUSG00000053211,ENSMFAG00000043630
ENSMUSG00000053211,ENSMFAG00000063396
ENSMUSG00000053211,ENSMFAG00000046027
ENSMUSG00000053211,ENSMFAG00000032350
ENSMUSG00000053211,ENSMFAG00000002205
ENSMUSG00000053211,ENSMFAG00000009459
ENSMUSG00000053211,ENSMFAG00000031616
ENSMUSG00000056673,ENSMFAG00000063076
ENSMUSG00000069049,ENSMFAG00000031284
ENSMUSG00000069049,ENSMFAG00000037821
ENSMUSG00000068457,ENSMFAG00000063023
ENSMUSG00000069045,ENSMFAG00000060380
ENSMUSG00000069044,ENSMFAG00000065535
ENSMUSG00000077793,ENSMFAG00000052407
ENSMUSG00000000103,ENSMFAG00000037822
ENSMUSG00000000103,ENSMFAG00000034292
ENSMUSG00000000103,ENSMFAG00000032589
ENSMUSG00000000103,ENSMFAG00000045479
ENSMUSG00000000103,ENSMFAG00000004631
ENSMUSG00000000103,ENSMFAG00000035378
ENSMUSG00000000103,ENSMFAG00000036857
ENSMUSG00000000103,ENSMFAG00000043630
ENSMUSG00000000103,ENSMFAG00000063396
ENSMUSG00000000103,ENSMFAG00000046027
ENSMUSG00000000103,ENSMFAG00000032350
ENSMUSG00000000103,ENSMFAG00000002205
ENSMUSG00000000103,ENSMFAG00000009459
ENSMUSG00000000103,ENSMFAG00000031616
ENSMUSG00000102053,ENSMFAG00000057622
ENSMUSG00000094658,ENSMFAG00000057622
ENSMUSG00000095852,ENSMFAG00000057622
ENSMUSG00000091987,ENSMFAG00000057622
ENSMUSG00000102739,ENSMFAG00000000052
ENSMUSG00000102739,ENSMFAG00000051241
ENSMUSG00000094325,ENSMFAG00000000052
ENSMUSG00000094325,ENSMFAG00000051241
ENSMUSG00000095267,ENSMFAG00000000052
ENSMUSG00000095267,ENSMFAG00000051241
ENSMUSG00000095520,ENSMFAG00000000052
ENSMUSG00000095520,ENSMFAG00000051241
ENSMUSG00000104267,ENSMFAG00000000052
ENSMUSG00000104267,ENSMFAG00000051241
ENSMUSG00000103468,ENSMFAG00000000052
ENSMUSG00000103468,ENSMFAG00000051241
ENSMUSG00000093903,ENSMFAG00000000052
ENSMUSG00000093903,ENSMFAG00000051241
ENSMUSG00000101155,ENSMFAG00000037508
ENSMUSG00000096122,ENSMFAG00000000052
ENSMUSG00000096122,ENSMFAG00000051241
ENSMUSG00000101399,ENSMFAG00000037508
ENSMUSG00000094052,ENSMFAG00000000052
ENSMUSG00000094052,ENSMFAG00000051241
ENSMUSG00000099948,ENSMFAG00000000052
ENSMUSG00000099948,ENSMFAG00000051241
ENSMUSG00000100231,ENSMFAG00000037508
ENSMUSG00000095508,ENSMFAG00000000052
ENSMUSG00000095508,ENSMFAG00000051241
ENSMUSG00000095606,ENSMFAG00000037508
ENSMUSG00000094570,ENSMFAG00000037508
ENSMUSG00000095867,ENSMFAG00000000052
ENSMUSG00000095867,ENSMFAG00000051241
ENSMUSG00000094746,ENSMFAG00000037508
ENSMUSG00000095793,ENSMFAG00000037508
ENSMUSG00000096650,ENSMFAG00000037508
ENSMUSG00000099531,ENSMFAG00000037508
ENSMUSG00000094660,ENSMFAG00000000052
ENSMUSG00000094660,ENSMFAG00000051241
ENSMUSG00000099840,ENSMFAG00000037508
ENSMUSG00000100485,ENSMFAG00000037508
ENSMUSG00000101158,ENSMFAG00000037508
ENSMUSG00000101286,ENSMFAG00000037508
ENSMUSG00000101933,ENSMFAG00000037508
ENSMUSG00000099894,ENSMFAG00000037508
ENSMUSG00000096769,ENSMFAG00000037508
ENSMUSG00000094616,ENSMFAG00000037508
ENSMUSG00000094647,ENSMFAG00000037508
ENSMUSG00000094821,ENSMFAG00000037508
ENSMUSG00000095979,ENSMFAG00000037508
ENSMUSG00000096902,ENSMFAG00000037508
ENSMUSG00000102045,ENSMFAG00000037508
ENSMUSG00000095153,ENSMFAG00000037508
ENSMUSG00000099541,ENSMFAG00000037508
ENSMUSG00000100055,ENSMFAG00000037508
ENSMUSG00000100708,ENSMFAG00000037508
ENSMUSG00000100726,ENSMFAG00000037508
ENSMUSG00000100972,ENSMFAG00000037508
ENSMUSG00000095578,ENSMFAG00000037508
ENSMUSG00000095135,ENSMFAG00000037508
ENSMUSG00000100667,ENSMFAG00000037508
ENSMUSG00000101653,ENSMFAG00000037508
ENSMUSG00000093895,ENSMFAG00000037508
ENSMUSG00000103371,ENSMFAG00000037508
ENSMUSG00000104191,ENSMFAG00000037508
ENSMUSG00000100608,ENSMFAG00000037508
ENSMUSG00000101915,ENSMFAG00000037508
ENSMUSG00000094789,ENSMFAG00000037508
ENSMUSG00000100467,ENSMFAG00000037508
ENSMUSG00000100338,ENSMFAG00000037508
ENSMUSG00000094181,ENSMFAG00000037508
ENSMUSG00000094782,ENSMFAG00000037508
ENSMUSG00000095011,ENSMFAG00000037508
ENSMUSG00000095141,ENSMFAG00000037508
ENSMUSG00000096178,ENSMFAG00000037508
ENSMUSG00000096626,ENSMFAG00000037508
ENSMUSG00000099740,ENSMFAG00000037508
ENSMUSG00000099792,ENSMFAG00000037508
ENSMUSG00000099925,ENSMFAG00000037508
ENSMUSG00000101528,ENSMFAG00000037508
ENSMUSG00000103528,ENSMFAG00000037508
ENSMUSG00000102668,ENSMFAG00000037508
ENSMUSG00000094813,ENSMFAG00000000052
ENSMUSG00000094813,ENSMFAG00000051241
ENSMUSG00000101396,ENSMFAG00000037508
ENSMUSG00000095950,ENSMFAG00000000052
ENSMUSG00000095950,ENSMFAG00000051241
ENSMUSG00000101243,ENSMFAG00000037508
ENSMUSG00000079806,ENSMFAG00000000052
ENSMUSG00000079806,ENSMFAG00000051241
ENSMUSG00000100634,ENSMFAG00000000052
ENSMUSG00000100634,ENSMFAG00000051241
ENSMUSG00000096036,ENSMFAG00000000052
ENSMUSG00000096036,ENSMFAG00000051241
ENSMUSG00000096706,ENSMFAG00000000052
ENSMUSG00000096706,ENSMFAG00000051241
ENSMUSG00000096268,ENSMFAG00000000052
ENSMUSG00000096268,ENSMFAG00000051241
ENSMUSG00000094773,ENSMFAG00000000052
ENSMUSG00000094773,ENSMFAG00000051241
ENSMUSG00000096223,ENSMFAG00000000052
ENSMUSG00000096223,ENSMFAG00000051241
ENSMUSG00000094556,ENSMFAG00000000052
ENSMUSG00000094556,ENSMFAG00000051241
ENSMUSG00000094484,ENSMFAG00000000052
ENSMUSG00000094484,ENSMFAG00000051241
ENSMUSG00000091077,ENSMFAG00000000052
ENSMUSG00000091077,ENSMFAG00000051241
ENSMUSG00000094679,ENSMFAG00000000052
ENSMUSG00000094679,ENSMFAG00000051241
ENSMUSG00000096820,ENSMFAG00000000052
ENSMUSG00000096820,ENSMFAG00000051241
ENSMUSG00000095900,ENSMFAG00000000052
ENSMUSG00000095900,ENSMFAG00000051241
ENSMUSG00000095452,ENSMFAG00000000052
ENSMUSG00000095452,ENSMFAG00000051241
ENSMUSG00000095263,ENSMFAG00000037508
ENSMUSG00000094399,ENSMFAG00000037508
ENSMUSG00000047161,ENSMFAG00000037917
ENSMUSG00000024304,ENSMFAG00000004661
ENSMUSG00000048799,ENSMFAG00000000165
ENSMUSG00000073563,ENSMFAG00000031684
ENSMUSG00000052713,ENSMFAG00000043739
ENSMUSG00000088227,ENSMFAG00000057002
ENSMUSG00000001700,ENSMFAG00000044063
ENSMUSG00000024331,ENSMFAG00000045076
ENSMUSG00000044322,ENSMFAG00000035735
ENSMUSG00000034774,ENSMFAG00000033359
ENSMUSG00000069441,ENSMFAG00000033359
ENSMUSG00000061928,ENSMFAG00000033359
ENSMUSG00000053644,ENSMFAG00000035623
ENSMUSG00000053644,ENSMFAG00000045191
ENSMUSG00000001804,ENSMFAG00000031939
ENSMUSG00000008301,ENSMFAG00000049514
ENSMUSG00000032900,ENSMFAG00000042605
ENSMUSG00000024590,ENSMFAG00000033746
ENSMUSG00000033863,ENSMFAG00000035395
ENSMUSG00000032656,ENSMFAG00000046331
ENSMUSG00000025075,ENSMFAG00000037647
ENSMUSG00000056632,ENSMFAG00000031707
ENSMUSG00000024592,ENSMFAG00000009790
ENSMUSG00000044393,ENSMFAG00000014923
ENSMUSG00000061808,ENSMFAG00000039111
ENSMUSG00000056124,ENSMFAG00000033017
ENSMUSG00000024593,ENSMFAG00000042999
ENSMUSG00000033207,ENSMFAG00000035807
ENSMUSG00000033382,ENSMFAG00000039323
ENSMUSG00000033053,ENSMFAG00000034619
ENSMUSG00000074925,ENSMFAG00000039090
ENSMUSG00000024897,ENSMFAG00000031379
ENSMUSG00000024317,ENSMFAG00000040383
ENSMUSG00000071604,ENSMFAG00000032849
ENSMUSG00000024812,ENSMFAG00000001435
ENSMUSG00000024313,ENSMFAG00000045964
ENSMUSG00000042680,ENSMFAG00000039588
ENSMUSG00000119849,ENSMFAG00000016775
ENSMUSG00000119907,ENSMFAG00000037209
ENSMUSG00000024598,ENSMFAG00000041645
ENSMUSG00000059363,ENSMFAG00000041923
ENSMUSG00000024867,ENSMFAG00000038711
ENSMUSG00000042514,ENSMFAG00000043081
ENSMUSG00000048572,ENSMFAG00000062896
ENSMUSG00000041731,ENSMFAG00000045131
ENSMUSG00000024600,ENSMFAG00000041201
ENSMUSG00000024601,ENSMFAG00000043883
ENSMUSG00000058927,ENSMFAG00000026282
ENSMUSG00000058927,ENSMFAG00000050012
ENSMUSG00000058927,ENSMFAG00000030330
ENSMUSG00000058927,ENSMFAG00000020472
ENSMUSG00000058927,ENSMFAG00000029344
ENSMUSG00000058927,ENSMFAG00000029941
ENSMUSG00000053441,ENSMFAG00000043585
ENSMUSG00000049134,ENSMFAG00000001231
ENSMUSG00000024306,ENSMFAG00000043745
ENSMUSG00000056380,ENSMFAG00000034411
ENSMUSG00000073257,ENSMFAG00000037508
ENSMUSG00000050875,ENSMFAG00000038413
ENSMUSG00000065022,ENSMFAG00000054531
ENSMUSG00000065022,ENSMFAG00000059535
ENSMUSG00000065022,ENSMFAG00000060627
ENSMUSG00000065022,ENSMFAG00000010667
ENSMUSG00000065022,ENSMFAG00000030431
ENSMUSG00000073131,ENSMFAG00000002244
ENSMUSG00000064545,ENSMFAG00000054531
ENSMUSG00000064545,ENSMFAG00000059535
ENSMUSG00000064545,ENSMFAG00000060627
ENSMUSG00000064545,ENSMFAG00000010667
ENSMUSG00000064545,ENSMFAG00000030431
ENSMUSG00000064720,ENSMFAG00000054531
ENSMUSG00000064720,ENSMFAG00000059535
ENSMUSG00000064720,ENSMFAG00000060627
ENSMUSG00000064720,ENSMFAG00000010667
ENSMUSG00000064720,ENSMFAG00000030431
ENSMUSG00000084487,ENSMFAG00000059702
ENSMUSG00000084487,ENSMFAG00000055273
ENSMUSG00000064726,ENSMFAG00000038199
ENSMUSG00000064726,ENSMFAG00000060112
ENSMUSG00000084604,ENSMFAG00000010711
ENSMUSG00000088820,ENSMFAG00000053024
ENSMUSG00000020607,ENSMFAG00000027588
ENSMUSG00000073255,ENSMFAG00000037508
ENSMUSG00000065617,ENSMFAG00000020247
ENSMUSG00000098838,ENSMFAG00000010657
ENSMUSG00000020601,ENSMFAG00000042686
ENSMUSG00000041380,ENSMFAG00000064910
ENSMUSG00000041923,ENSMFAG00000031845
ENSMUSG00000071235,ENSMFAG00000011666
ENSMUSG00000065448,ENSMFAG00000058740
ENSMUSG00000070136,ENSMFAG00000017702
ENSMUSG00000071234,ENSMFAG00000039919
ENSMUSG00000076052,ENSMFAG00000009340
ENSMUSG00002075156,ENSMFAG00000033571
ENSMUSG00000105849,ENSMFAG00000033571
ENSMUSG00000056537,ENSMFAG00000063132
ENSMUSG00000065570,ENSMFAG00000017782
ENSMUSG00000065497,ENSMFAG00000008584
ENSMUSG00000035142,ENSMFAG00000038751
ENSMUSG00000065968,ENSMFAG00000039100
ENSMUSG00000065968,ENSMFAG00000061962
ENSMUSG00000065968,ENSMFAG00000028816
ENSMUSG00000065968,ENSMFAG00000011493
ENSMUSG00000065968,ENSMFAG00000056628
ENSMUSG00000084576,ENSMFAG00000024247
ENSMUSG00000091212,ENSMFAG00000060023
ENSMUSG00000044117,ENSMFAG00000005809
ENSMUSG00000077767,ENSMFAG00000020430
ENSMUSG00000064876,ENSMFAG00000051326
ENSMUSG00000064876,ENSMFAG00000040432
ENSMUSG00000021242,ENSMFAG00000035734
