marmoset_gene,macaque_gene
ENSCJAG00000011083,ENSMFAG00000030908
ENSCJAG00000077025,ENSMFAG00000033386
ENSCJAG00000008064,ENSMFAG00000039694
ENSCJAG00000075363,ENSMFAG00000053611
ENSCJAG00000006931,ENSMFAG00000040684
ENSCJAG00000043138,ENSMFAG00000043992
ENSCJAG00000008142,ENSMFAG00000038715
ENSCJAG00000016292,ENSMFAG00000000947
ENSCJAG00000011113,ENSMFAG00000038163
ENSCJAG00000003853,ENSMFAG00000007606
ENSCJAG00000012598,ENSMFAG00000041085
ENSCJAG00000012598,ENSMFAG00000001266
ENSCJAG00000054074,ENSMFAG00000019768
ENSCJAG00000010197,ENSMFAG00000035998
ENSCJAG00000057712,ENSMFAG00000052275
ENSCJAG00000057712,ENSMFAG00000055972
ENSCJAG00000057712,ENSMFAG00000048262
ENSCJAG00000057712,ENSMFAG00000058781
ENSCJAG00000057712,ENSMFAG00000049881
ENSCJAG00000057712,ENSMFAG00000064185
ENSCJAG00000057712,ENSMFAG00000055175
ENSCJAG00000057712,ENSMFAG00000054018
ENSCJAG00000057712,ENSMFAG00000061610
ENSCJAG00000083876,ENSMFAG00000060242
ENSCJAG00000080921,ENSMFAG00000031898
ENSCJAG00000042036,ENSMFAG00000018168
ENSCJAG00000059435,ENSMFAG00000052518
ENSCJAG00000044997,ENSMFAG00000040156
ENSCJAG00000011136,ENSMFAG00000032285
ENSCJAG00000043537,ENSMFAG00000018580
ENSCJAG00000020348,ENSMFAG00000001850
ENSCJAG00000047661,ENSMFAG00000054439
ENSCJAG00000044859,ENSMFAG00000005304
ENSCJAG00000044859,ENSMFAG00000007336
ENSCJAG00000016305,ENSMFAG00000045567
ENSCJAG00000082130,ENSMFAG00000064199
ENSCJAG00000025426,ENSMFAG00000012492
ENSCJAG00000081697,ENSMFAG00000052500
ENSCJAG00000072595,ENSMFAG00000048359
ENSCJAG00000054220,ENSMFAG00000060880
ENSCJAG00000074268,ENSMFAG00000065085
ENSCJAG00000001216,ENSMFAG00000046226
ENSCJAG00000041601,ENSMFAG00000004196
ENSCJAG00000041601,ENSMFAG00000057481
ENSCJAG00000040263,ENSMFAG00000026839
ENSCJAG00000076221,ENSMFAG00000052275
ENSCJAG00000076221,ENSMFAG00000055972
ENSCJAG00000076221,ENSMFAG00000048262
ENSCJAG00000076221,ENSMFAG00000058781
ENSCJAG00000076221,ENSMFAG00000049881
ENSCJAG00000076221,ENSMFAG00000064185
ENSCJAG00000076221,ENSMFAG00000055175
ENSCJAG00000076221,ENSMFAG00000054018
ENSCJAG00000076221,ENSMFAG00000061610
ENSCJAG00000019926,ENSMFAG00000043830
ENSCJAG00000010200,ENSMFAG00000041149
ENSCJAG00000010200,ENSMFAG00000000296
ENSCJAG00000085985,ENSMFAG00000037370
ENSCJAG00000084283,ENSMFAG00000014343
ENSCJAG00000084757,ENSMFAG00000053594
ENSCJAG00000015809,ENSMFAG00000041506
ENSCJAG00000003174,ENSMFAG00000042627
ENSCJAG00000075968,ENSMFAG00000051182
ENSCJAG00000010839,ENSMFAG00000038859
ENSCJAG00000038960,ENSMFAG00000007746
ENSCJAG00000056845,ENSMFAG00000065379
ENSCJAG00000056845,ENSMFAG00000037467
ENSCJAG00000056845,ENSMFAG00000048063
ENSCJAG00000056845,ENSMFAG00000059873
ENSCJAG00000008718,ENSMFAG00000000717
ENSCJAG00000073183,ENSMFAG00000061469
ENSCJAG00000008175,ENSMFAG00000031174
ENSCJAG00000041714,ENSMFAG00000043883
ENSCJAG00000049478,ENSMFAG00000042459
ENSCJAG00000054477,ENSMFAG00000057075
ENSCJAG00000059870,ENSMFAG00000001594
ENSCJAG00000011188,ENSMFAG00000041698
ENSCJAG00000077811,ENSMFAG00000035619
ENSCJAG00000014591,ENSMFAG00000045435
ENSCJAG00000015805,ENSMFAG00000003943
ENSCJAG00000012589,ENSMFAG00000034124
ENSCJAG00000018871,ENSMFAG00000031021
ENSCJAG00000069940,ENSMFAG00000061733
ENSCJAG00000069940,ENSMFAG00000056088
ENSCJAG00000069940,ENSMFAG00000052399
ENSCJAG00000069940,ENSMFAG00000058725
ENSCJAG00000069940,ENSMFAG00000053301
ENSCJAG00000069940,ENSMFAG00000062741
ENSCJAG00000069940,ENSMFAG00000063747
ENSCJAG00000069940,ENSMFAG00000060869
ENSCJAG00000069940,ENSMFAG00000063834
ENSCJAG00000069940,ENSMFAG00000048270
ENSCJAG00000020360,ENSMFAG00000042440
ENSCJAG00000052430,ENSMFAG00000018634
ENSCJAG00000007987,ENSMFAG00000036918
ENSCJAG00000070098,ENSMFAG00000064562
ENSCJAG00000086864,ENSMFAG00000051587
ENSCJAG00000082589,ENSMFAG00000052275
ENSCJAG00000082589,ENSMFAG00000055972
ENSCJAG00000082589,ENSMFAG00000048262
ENSCJAG00000082589,ENSMFAG00000058781
ENSCJAG00000082589,ENSMFAG00000049881
ENSCJAG00000082589,ENSMFAG00000064185
ENSCJAG00000082589,ENSMFAG00000055175
ENSCJAG00000082589,ENSMFAG00000054018
ENSCJAG00000082589,ENSMFAG00000061610
ENSCJAG00000016312,ENSMFAG00000031432
ENSCJAG00000043771,ENSMFAG00000034059
ENSCJAG00000015792,ENSMFAG00000033377
ENSCJAG00000081149,ENSMFAG00000056423
ENSCJAG00000010884,ENSMFAG00000037873
ENSCJAG00000077628,ENSMFAG00000052275
ENSCJAG00000077628,ENSMFAG00000055972
ENSCJAG00000077628,ENSMFAG00000048262
ENSCJAG00000077628,ENSMFAG00000058781
ENSCJAG00000077628,ENSMFAG00000049881
ENSCJAG00000077628,ENSMFAG00000064185
ENSCJAG00000077628,ENSMFAG00000055175
ENSCJAG00000077628,ENSMFAG00000054018
ENSCJAG00000077628,ENSMFAG00000061610
ENSCJAG00000043822,ENSMFAG00000031844
ENSCJAG00000035001,ENSMFAG00000054598
ENSCJAG00000076820,ENSMFAG00000004894
ENSCJAG00000010252,ENSMFAG00000043608
ENSCJAG00000006057,ENSMFAG00000046274
ENSCJAG00000067688,ENSMFAG00000043544
ENSCJAG00000019300,ENSMFAG00000041201
ENSCJAG00000047593,ENSMFAG00000007793
ENSCJAG00000008709,ENSMFAG00000035520
ENSCJAG00000043131,ENSMFAG00000010633
ENSCJAG00000015559,ENSMFAG00000035631
ENSCJAG00000020153,ENSMFAG00000042287
ENSCJAG00000019876,ENSMFAG00000041903
ENSCJAG00000073968,ENSMFAG00000012220
ENSCJAG00000011155,ENSMFAG00000000879
ENSCJAG00000003399,ENSMFAG00000035651
ENSCJAG00000048002,ENSMFAG00000043420
ENSCJAG00000074176,ENSMFAG00000052275
ENSCJAG00000074176,ENSMFAG00000055972
ENSCJAG00000074176,ENSMFAG00000048262
ENSCJAG00000074176,ENSMFAG00000058781
ENSCJAG00000074176,ENSMFAG00000049881
ENSCJAG00000074176,ENSMFAG00000064185
ENSCJAG00000074176,ENSMFAG00000055175
ENSCJAG00000074176,ENSMFAG00000054018
ENSCJAG00000074176,ENSMFAG00000061610
ENSCJAG00000044039,ENSMFAG00000009581
ENSCJAG00000070528,ENSMFAG00000012912
ENSCJAG00000029419,ENSMFAG00000020394
ENSCJAG00000075591,ENSMFAG00000063416
ENSCJAG00000075591,ENSMFAG00000064194
ENSCJAG00000075591,ENSMFAG00000058829
ENSCJAG00000019942,ENSMFAG00000045214
ENSCJAG00000007921,ENSMFAG00000039014
ENSCJAG00000079850,ENSMFAG00000022353
ENSCJAG00000040778,ENSMFAG00000056608
ENSCJAG00000081514,ENSMFAG00000047632
ENSCJAG00000008628,ENSMFAG00000043406
ENSCJAG00000083247,ENSMFAG00000043812
ENSCJAG00000053898,ENSMFAG00000051228
ENSCJAG00000038194,ENSMFAG00000000981
ENSCJAG00000021276,ENSMFAG00000041768
ENSCJAG00000003158,ENSMFAG00000002713
ENSCJAG00000011089,ENSMFAG00000003977
ENSCJAG00000037354,ENSMFAG00000045528
ENSCJAG00000010893,ENSMFAG00000037715
ENSCJAG00000059464,ENSMFAG00000030681
ENSCJAG00000059464,ENSMFAG00000002532
ENSCJAG00000006956,ENSMFAG00000036883
ENSCJAG00000047220,ENSMFAG00000039086
ENSCJAG00000002120,ENSMFAG00000031576
ENSCJAG00000045923,ENSMFAG00000019091
ENSCJAG00000053641,ENSMFAG00000030681
ENSCJAG00000053641,ENSMFAG00000002532
ENSCJAG00000005476,ENSMFAG00000003729
ENSCJAG00000018862,ENSMFAG00000036175
ENSCJAG00000075373,ENSMFAG00000060522
ENSCJAG00000075373,ENSMFAG00000056364
ENSCJAG00000075373,ENSMFAG00000052920
ENSCJAG00000075373,ENSMFAG00000065207
ENSCJAG00000075373,ENSMFAG00000053511
ENSCJAG00000077259,ENSMFAG00000047672
ENSCJAG00000077259,ENSMFAG00000063441
ENSCJAG00000077259,ENSMFAG00000063812
ENSCJAG00000077259,ENSMFAG00000051902
ENSCJAG00000006957,ENSMFAG00000039991
ENSCJAG00000019952,ENSMFAG00000036832
ENSCJAG00000008453,ENSMFAG00000002101
ENSCJAG00000080942,ENSMFAG00000042970
ENSCJAG00000059396,ENSMFAG00000011805
ENSCJAG00000010268,ENSMFAG00000028795
ENSCJAG00000085474,ENSMFAG00000030681
ENSCJAG00000085474,ENSMFAG00000002532
ENSCJAG00000060349,ENSMFAG00000046066
ENSCJAG00000015771,ENSMFAG00000054474
ENSCJAG00000011202,ENSMFAG00000037906
ENSCJAG00000010436,ENSMFAG00000001860
ENSCJAG00000008583,ENSMFAG00000042821
ENSCJAG00000003742,ENSMFAG00000007530
ENSCJAG00000003742,ENSMFAG00000037262
ENSCJAG00000073587,ENSMFAG00000052275
ENSCJAG00000073587,ENSMFAG00000055972
ENSCJAG00000073587,ENSMFAG00000048262
ENSCJAG00000073587,ENSMFAG00000058781
ENSCJAG00000073587,ENSMFAG00000049881
ENSCJAG00000073587,ENSMFAG00000064185
ENSCJAG00000073587,ENSMFAG00000055175
ENSCJAG00000073587,ENSMFAG00000054018
ENSCJAG00000073587,ENSMFAG00000061610
ENSCJAG00000045411,ENSMFAG00000000306
ENSCJAG00000045411,ENSMFAG00000058803
ENSCJAG00000047244,ENSMFAG00000037560
ENSCJAG00000034870,ENSMFAG00000024447
ENSCJAG00000076204,ENSMFAG00000052275
ENSCJAG00000076204,ENSMFAG00000055972
ENSCJAG00000076204,ENSMFAG00000048262
ENSCJAG00000076204,ENSMFAG00000058781
ENSCJAG00000076204,ENSMFAG00000049881
ENSCJAG00000076204,ENSMFAG00000064185
ENSCJAG00000076204,ENSMFAG00000055175
ENSCJAG00000076204,ENSMFAG00000054018
ENSCJAG00000076204,ENSMFAG00000061610
ENSCJAG00000018308,ENSMFAG00000001877
ENSCJAG00000070990,ENSMFAG00000061337
ENSCJAG00000070990,ENSMFAG00000056722
ENSCJAG00000070990,ENSMFAG00000064983
ENSCJAG00000073496,ENSMFAG00000051899
ENSCJAG00000077244,ENSMFAG00000043210
ENSCJAG00000044914,ENSMFAG00000002078
ENSCJAG00000008564,ENSMFAG00000039512
ENSCJAG00000028443,ENSMFAG00000034736
ENSCJAG00000081361,ENSMFAG00000042695
ENSCJAG00000003729,ENSMFAG00000045809
ENSCJAG00000005464,ENSMFAG00000002547
ENSCJAG00000023418,ENSMFAG00000032862
ENSCJAG00000076654,ENSMFAG00000005067
ENSCJAG00000040970,ENSMFAG00000007574
ENSCJAG00000008222,ENSMFAG00000040117
ENSCJAG00000070211,ENSMFAG00000048887
ENSCJAG00000070211,ENSMFAG00000061912
ENSCJAG00000012556,ENSMFAG00000000700
ENSCJAG00000079932,ENSMFAG00000014203
ENSCJAG00000001252,ENSMFAG00000042357
ENSCJAG00000086585,ENSMFAG00000014364
ENSCJAG00000019977,ENSMFAG00000042667
ENSCJAG00000071222,ENSMFAG00000006946
ENSCJAG00000003300,ENSMFAG00000042513
ENSCJAG00000010294,ENSMFAG00000035630
ENSCJAG00000011228,ENSMFAG00000003627
ENSCJAG00000003392,ENSMFAG00000065187
ENSCJAG00000045176,ENSMFAG00000003302
ENSCJAG00000020376,ENSMFAG00000045947
ENSCJAG00000064085,ENSMFAG00000034288
ENSCJAG00000008536,ENSMFAG00000030949
ENSCJAG00000040653,ENSMFAG00000037068
ENSCJAG00000016348,ENSMFAG00000063135
ENSCJAG00000003133,ENSMFAG00000045845
ENSCJAG00000084651,ENSMFAG00000052275
ENSCJAG00000084651,ENSMFAG00000055972
ENSCJAG00000084651,ENSMFAG00000048262
ENSCJAG00000084651,ENSMFAG00000058781
ENSCJAG00000084651,ENSMFAG00000049881
ENSCJAG00000084651,ENSMFAG00000064185
ENSCJAG00000084651,ENSMFAG00000055175
ENSCJAG00000084651,ENSMFAG00000054018
ENSCJAG00000084651,ENSMFAG00000061610
ENSCJAG00000081266,ENSMFAG00000032433
ENSCJAG00000016720,ENSMFAG00000030969
ENSCJAG00000076577,ENSMFAG00000039233
ENSCJAG00000033516,ENSMFAG00000004914
ENSCJAG00000085673,ENSMFAG00000047976
ENSCJAG00000085673,ENSMFAG00000058923
ENSCJAG00000085673,ENSMFAG00000056989
ENSCJAG00000085673,ENSMFAG00000057144
ENSCJAG00000085673,ENSMFAG00000048524
ENSCJAG00000085673,ENSMFAG00000051175
ENSCJAG00000085673,ENSMFAG00000058025
ENSCJAG00000064692,ENSMFAG00000011967
ENSCJAG00000083210,ENSMFAG00000048186
ENSCJAG00000009113,ENSMFAG00000034456
ENSCJAG00000018947,ENSMFAG00000043611
ENSCJAG00000019950,ENSMFAG00000065084
ENSCJAG00000032548,ENSMFAG00000038932
ENSCJAG00000000032,ENSMFAG00000002835
ENSCJAG00000011358,ENSMFAG00000027620
ENSCJAG00000060942,ENSMFAG00000041065
ENSCJAG00000006964,ENSMFAG00000044225
ENSCJAG00000008541,ENSMFAG00000030099
ENSCJAG00000024539,ENSMFAG00000004214
ENSCJAG00000017196,ENSMFAG00000033060
ENSCJAG00000051749,ENSMFAG00000041941
ENSCJAG00000086987,ENSMFAG00000052275
ENSCJAG00000086987,ENSMFAG00000055972
ENSCJAG00000086987,ENSMFAG00000048262
ENSCJAG00000086987,ENSMFAG00000058781
ENSCJAG00000086987,ENSMFAG00000049881
ENSCJAG00000086987,ENSMFAG00000064185
ENSCJAG00000086987,ENSMFAG00000055175
ENSCJAG00000086987,ENSMFAG00000054018
ENSCJAG00000086987,ENSMFAG00000061610
ENSCJAG00000038187,ENSMFAG00000060189
ENSCJAG00000017606,ENSMFAG00000034156
ENSCJAG00000039419,ENSMFAG00000041629
ENSCJAG00000006015,ENSMFAG00000003770
ENSCJAG00000016354,ENSMFAG00000041595
ENSCJAG00000039809,ENSMFAG00000003745
ENSCJAG00000081289,ENSMFAG00000021799
ENSCJAG00000052654,ENSMFAG00000062210
ENSCJAG00000070561,ENSMFAG00000061168
ENSCJAG00000079708,ENSMFAG00000052275
ENSCJAG00000079708,ENSMFAG00000055972
ENSCJAG00000079708,ENSMFAG00000048262
ENSCJAG00000079708,ENSMFAG00000058781
ENSCJAG00000079708,ENSMFAG00000049881
ENSCJAG00000079708,ENSMFAG00000064185
ENSCJAG00000079708,ENSMFAG00000055175
ENSCJAG00000079708,ENSMFAG00000054018
ENSCJAG00000079708,ENSMFAG00000061610
ENSCJAG00000015527,ENSMFAG00000033475
ENSCJAG00000019242,ENSMFAG00000041645
ENSCJAG00000010904,ENSMFAG00000035974
ENSCJAG00000010904,ENSMFAG00000062808
ENSCJAG00000015743,ENSMFAG00000002042
ENSCJAG00000019955,ENSMFAG00000038062
ENSCJAG00000003185,ENSMFAG00000037696
ENSCJAG00000039806,ENSMFAG00000003698
ENSCJAG00000003384,ENSMFAG00000038729
ENSCJAG00000007501,ENSMFAG00000032530
ENSCJAG00000015113,ENSMFAG00000045661
ENSCJAG00000011374,ENSMFAG00000000751
ENSCJAG00000010510,ENSMFAG00000045861
ENSCJAG00000086462,ENSMFAG00000018059
ENSCJAG00000070330,ENSMFAG00000052275
ENSCJAG00000070330,ENSMFAG00000055972
ENSCJAG00000070330,ENSMFAG00000048262
ENSCJAG00000070330,ENSMFAG00000058781
ENSCJAG00000070330,ENSMFAG00000049881
ENSCJAG00000070330,ENSMFAG00000064185
ENSCJAG00000070330,ENSMFAG00000055175
ENSCJAG00000070330,ENSMFAG00000054018
ENSCJAG00000070330,ENSMFAG00000061610
ENSCJAG00000016700,ENSMFAG00000046396
ENSCJAG00000080891,ENSMFAG00000052584
ENSCJAG00000080891,ENSMFAG00000060465
ENSCJAG00000080891,ENSMFAG00000058205
ENSCJAG00000083662,ENSMFAG00000004430
ENSCJAG00000010321,ENSMFAG00000040876
ENSCJAG00000070903,ENSMFAG00000003238
ENSCJAG00000070903,ENSMFAG00000044606
ENSCJAG00000054601,ENSMFAG00000007347
ENSCJAG00000077993,ENSMFAG00000045081
ENSCJAG00000021274,ENSMFAG00000033647
ENSCJAG00000073297,ENSMFAG00000001302
ENSCJAG00000040087,ENSMFAG00000030346
ENSCJAG00000068975,ENSMFAG00000009168
ENSCJAG00000013848,ENSMFAG00000039089
ENSCJAG00000018394,ENSMFAG00000045003
ENSCJAG00000020141,ENSMFAG00000001730
ENSCJAG00000033547,ENSMFAG00000041359
ENSCJAG00000077968,ENSMFAG00000045692
ENSCJAG00000073048,ENSMFAG00000039800
ENSCJAG00000073048,ENSMFAG00000038843
ENSCJAG00000047796,ENSMFAG00000043443
ENSCJAG00000045377,ENSMFAG00000000642
ENSCJAG00000008304,ENSMFAG00000048586
ENSCJAG00000008304,ENSMFAG00000002833
ENSCJAG00000014546,ENSMFAG00000039502
ENSCJAG00000019970,ENSMFAG00000041775
ENSCJAG00000071873,ENSMFAG00000052275
ENSCJAG00000071873,ENSMFAG00000055972
ENSCJAG00000071873,ENSMFAG00000048262
ENSCJAG00000071873,ENSMFAG00000058781
ENSCJAG00000071873,ENSMFAG00000049881
ENSCJAG00000071873,ENSMFAG00000064185
ENSCJAG00000071873,ENSMFAG00000055175
ENSCJAG00000071873,ENSMFAG00000054018
ENSCJAG00000071873,ENSMFAG00000061610
ENSCJAG00000083771,ENSMFAG00000057452
ENSCJAG00000080223,ENSMFAG00000014982
ENSCJAG00000011388,ENSMFAG00000044358
ENSCJAG00000003360,ENSMFAG00000000242
ENSCJAG00000021268,ENSMFAG00000043130
ENSCJAG00000016471,ENSMFAG00000044847
ENSCJAG00000001331,ENSMFAG00000038785
ENSCJAG00000006952,ENSMFAG00000043279
ENSCJAG00000072430,ENSMFAG00000022005
ENSCJAG00000017623,ENSMFAG00000039884
ENSCJAG00000079559,ENSMFAG00000052508
ENSCJAG00000072937,ENSMFAG00000011328
ENSCJAG00000077093,ENSMFAG00000060782
ENSCJAG00000077093,ENSMFAG00000054320
ENSCJAG00000077093,ENSMFAG00000050087
ENSCJAG00000064535,ENSMFAG00000036136
ENSCJAG00000085937,ENSMFAG00000052275
ENSCJAG00000085937,ENSMFAG00000055972
ENSCJAG00000085937,ENSMFAG00000048262
ENSCJAG00000085937,ENSMFAG00000058781
ENSCJAG00000085937,ENSMFAG00000049881
ENSCJAG00000085937,ENSMFAG00000064185
ENSCJAG00000085937,ENSMFAG00000055175
ENSCJAG00000085937,ENSMFAG00000054018
ENSCJAG00000085937,ENSMFAG00000061610
ENSCJAG00000074343,ENSMFAG00000036310
ENSCJAG00000082790,ENSMFAG00000001550
ENSCJAG00000076847,ENSMFAG00000050921
ENSCJAG00000020334,ENSMFAG00000036588
ENSCJAG00000081497,ENSMFAG00000061686
ENSCJAG00000063287,ENSMFAG00000032942
ENSCJAG00000048652,ENSMFAG00000042841
ENSCJAG00000062182,ENSMFAG00000037697
ENSCJAG00000080917,ENSMFAG00000007247
ENSCJAG00000064341,ENSMFAG00000049292
ENSCJAG00000064341,ENSMFAG00000064254
ENSCJAG00000064341,ENSMFAG00000060552
ENSCJAG00000064341,ENSMFAG00000065388
ENSCJAG00000013872,ENSMFAG00000033022
ENSCJAG00000046004,ENSMFAG00000035644
ENSCJAG00000055532,ENSMFAG00000051865
ENSCJAG00000003221,ENSMFAG00000042004
ENSCJAG00000048011,ENSMFAG00000046335
ENSCJAG00000020132,ENSMFAG00000003842
ENSCJAG00000061615,ENSMFAG00000048021
ENSCJAG00000008585,ENSMFAG00000038464
ENSCJAG00000015422,ENSMFAG00000001362
ENSCJAG00000016675,ENSMFAG00000045553
ENSCJAG00000005400,ENSMFAG00000000562
ENSCJAG00000001373,ENSMFAG00000045905
ENSCJAG00000018881,ENSMFAG00000003055
ENSCJAG00000018972,ENSMFAG00000000503
ENSCJAG00000080338,ENSMFAG00000052275
ENSCJAG00000080338,ENSMFAG00000055972
ENSCJAG00000080338,ENSMFAG00000048262
ENSCJAG00000080338,ENSMFAG00000058781
ENSCJAG00000080338,ENSMFAG00000049881
ENSCJAG00000080338,ENSMFAG00000064185
ENSCJAG00000080338,ENSMFAG00000055175
ENSCJAG00000080338,ENSMFAG00000054018
ENSCJAG00000080338,ENSMFAG00000061610
ENSCJAG00000086094,ENSMFAG00000013327
ENSCJAG00000086495,ENSMFAG00000044734
ENSCJAG00000020333,ENSMFAG00000002578
ENSCJAG00000032869,ENSMFAG00000014880
ENSCJAG00000003156,ENSMFAG00000043866
ENSCJAG00000003156,ENSMFAG00000025170
ENSCJAG00000003156,ENSMFAG00000029945
ENSCJAG00000010526,ENSMFAG00000043740
ENSCJAG00000010526,ENSMFAG00000048033
ENSCJAG00000076862,ENSMFAG00000035607
ENSCJAG00000043472,ENSMFAG00000054298
ENSCJAG00000040790,ENSMFAG00000013540
ENSCJAG00000016490,ENSMFAG00000031246
ENSCJAG00000018932,ENSMFAG00000034190
ENSCJAG00000008324,ENSMFAG00000060778
ENSCJAG00000008324,ENSMFAG00000057210
ENSCJAG00000008324,ENSMFAG00000051607
ENSCJAG00000020137,ENSMFAG00000035428
ENSCJAG00000000355,ENSMFAG00000048218
ENSCJAG00000000355,ENSMFAG00000048563
ENSCJAG00000000355,ENSMFAG00000064528
ENSCJAG00000001348,ENSMFAG00000042108
ENSCJAG00000071744,ENSMFAG00000001356
ENSCJAG00000010329,ENSMFAG00000045306
ENSCJAG00000084123,ENSMFAG00000025031
ENSCJAG00000084123,ENSMFAG00000065233
ENSCJAG00000084123,ENSMFAG00000023368
ENSCJAG00000037492,ENSMFAG00000013569
ENSCJAG00000062937,ENSMFAG00000015347
ENSCJAG00000062937,ENSMFAG00000064894
ENSCJAG00000062937,ENSMFAG00000047756
ENSCJAG00000021334,ENSMFAG00000025800
ENSCJAG00000013883,ENSMFAG00000036503
ENSCJAG00000061309,ENSMFAG00000058614
ENSCJAG00000061309,ENSMFAG00000053679
ENSCJAG00000061309,ENSMFAG00000056280
ENSCJAG00000061309,ENSMFAG00000054055
ENSCJAG00000017177,ENSMFAG00000031263
ENSCJAG00000042931,ENSMFAG00000032813
ENSCJAG00000077264,ENSMFAG00000064397
ENSCJAG00000065525,ENSMFAG00000051032
ENSCJAG00000054341,ENSMFAG00000049213
ENSCJAG00000006934,ENSMFAG00000037161
ENSCJAG00000079641,ENSMFAG00000005055
ENSCJAG00000081368,ENSMFAG00000047997
ENSCJAG00000079062,ENSMFAG00000055254
ENSCJAG00000009127,ENSMFAG00000031770
ENSCJAG00000082262,ENSMFAG00000049321
ENSCJAG00000082262,ENSMFAG00000061832
ENSCJAG00000082262,ENSMFAG00000061809
ENSCJAG00000082262,ENSMFAG00000053467
ENSCJAG00000082262,ENSMFAG00000050505
ENSCJAG00000085620,ENSMFAG00000050158
ENSCJAG00000044674,ENSMFAG00000008891
ENSCJAG00000073198,ENSMFAG00000039325
ENSCJAG00000073198,ENSMFAG00000040725
ENSCJAG00000086454,ENSMFAG00000041269
ENSCJAG00000045954,ENSMFAG00000003772
ENSCJAG00000076594,ENSMFAG00000016016
ENSCJAG00000048026,ENSMFAG00000033142
ENSCJAG00000011447,ENSMFAG00000032768
ENSCJAG00000008463,ENSMFAG00000036190
ENSCJAG00000005386,ENSMFAG00000033699
ENSCJAG00000016524,ENSMFAG00000035914
ENSCJAG00000041493,ENSMFAG00000033213
ENSCJAG00000014538,ENSMFAG00000030334
ENSCJAG00000003337,ENSMFAG00000033885
ENSCJAG00000020122,ENSMFAG00000044342
ENSCJAG00000034331,ENSMFAG00000004865
ENSCJAG00000071048,ENSMFAG00000058450
ENSCJAG00000003715,ENSMFAG00000044703
ENSCJAG00000015083,ENSMFAG00000037961
ENSCJAG00000072293,ENSMFAG00000059168
ENSCJAG00000021245,ENSMFAG00000030759
ENSCJAG00000072838,ENSMFAG00000014343
ENSCJAG00000001340,ENSMFAG00000043517
ENSCJAG00000068044,ENSMFAG00000044905
ENSCJAG00000068921,ENSMFAG00000060880
