source_id,human_id,type
ENSCJAG00000044914,ENSG00000184497,ortholog_one2one
ENSCJAG00000008564,ENSG00000196431,ortholog_one2one
ENSCJAG00000038923,ENSG00000178015,ortholog_one2one
ENSCJAG00000003729,ENSG00000139734,ortholog_one2one
ENSCJAG00000005464,ENSG00000109674,ortholog_one2one
ENSCJAG00000023418,ENSG00000109083,ortholog_one2one
ENSCJAG00000008222,ENSG00000165271,ortholog_one2one
ENSCJAG00000012556,ENSG00000130958,ortholog_one2one
ENSCJAG00000001252,ENSG00000135046,ortholog_one2one
ENSCJAG00000019977,ENSG00000169116,ortholog_one2one
ENSCJAG00000003300,ENSG00000125257,ortholog_one2one
ENSCJAG00000010294,ENSG00000164291,ortholog_one2one
ENSCJAG00000011228,ENSG00000096968,ortholog_one2one
ENSCJAG00000003392,ENSG00000073150,ortholog_one2one
ENSCJAG00000045176,ENSG00000186105,ortholog_one2one
ENSCJAG00000020376,ENSG00000148358,ortholog_one2one
ENSCJAG00000064085,ENSG00000184434,ortholog_one2one
ENSCJAG00000008536,ENSG00000253309,ortholog_one2one
ENSCJAG00000040653,ENSG00000112996,ortholog_one2one
ENSCJAG00000016348,ENSG00000165152,ortholog_one2one
ENSCJAG00000003133,ENSG00000138738,ortholog_one2one
ENSCJAG00000081266,ENSG00000100027,ortholog_one2one
ENSCJAG00000016720,ENSG00000164221,ortholog_one2one
ENSCJAG00000009113,ENSG00000112874,ortholog_one2one
ENSCJAG00000018947,ENSG00000183087,ortholog_one2one
ENSCJAG00000019950,ENSG00000132846,ortholog_one2one
ENSCJAG00000000032,ENSG00000145934,ortholog_one2one
ENSCJAG00000011358,ENSG00000120210,ortholog_one2one
ENSCJAG00000060942,ENSG00000174808,ortholog_one2one
ENSCJAG00000006964,ENSG00000137393,ortholog_one2one
ENSCJAG00000008541,ENSG00000150510,ortholog_one2one
ENSCJAG00000024539,ENSG00000238961,ortholog_one2one
ENSCJAG00000017196,ENSG00000064692,ortholog_one2one
ENSCJAG00000017606,ENSG00000137266,ortholog_one2one
ENSCJAG00000039419,ENSG00000236543,ortholog_one2one
ENSCJAG00000006015,ENSG00000154556,ortholog_one2one
ENSCJAG00000016354,ENSG00000155827,ortholog_one2one
ENSCJAG00000039809,ENSG00000150630,ortholog_one2one
ENSCJAG00000020170,ENSG00000169184,ortholog_one2one
ENSCJAG00000015527,ENSG00000086189,ortholog_one2one
ENSCJAG00000019242,ENSG00000138829,ortholog_one2one
ENSCJAG00000010904,ENSG00000038382,ortholog_one2one
ENSCJAG00000015743,ENSG00000100030,ortholog_one2one
ENSCJAG00000019955,ENSG00000164252,ortholog_one2one
ENSCJAG00000003185,ENSG00000151012,ortholog_one2one
ENSCJAG00000039806,ENSG00000070193,ortholog_one2one
ENSCJAG00000003384,ENSG00000170638,ortholog_one2one
ENSCJAG00000007501,ENSG00000164327,ortholog_one2one
ENSCJAG00000015113,ENSG00000138670,ortholog_one2one
ENSCJAG00000011374,ENSG00000107020,ortholog_one2one
ENSCJAG00000010510,ENSG00000148386,ortholog_one2one
ENSCJAG00000086462,ENSG00000226792,ortholog_one2one
ENSCJAG00000016700,ENSG00000164219,ortholog_one2one
ENSCJAG00000010321,ENSG00000198677,ortholog_one2one
ENSCJAG00000077993,ENSG00000165643,ortholog_one2one
ENSCJAG00000021274,ENSG00000164266,ortholog_one2one
ENSCJAG00000073297,ENSG00000129128,ortholog_one2one
ENSCJAG00000040087,ENSG00000175764,ortholog_one2one
ENSCJAG00000068975,ENSG00000172568,ortholog_one2one
ENSCJAG00000013848,ENSG00000109321,ortholog_one2one
ENSCJAG00000018394,ENSG00000120156,ortholog_one2one
ENSCJAG00000020141,ENSG00000180957,ortholog_one2one
ENSCJAG00000033547,ENSG00000283199,ortholog_one2one
ENSCJAG00000047796,ENSG00000156345,ortholog_one2one
ENSCJAG00000045377,ENSG00000100034,ortholog_one2one
ENSCJAG00000014546,ENSG00000184470,ortholog_one2one
ENSCJAG00000019970,ENSG00000145708,ortholog_one2one
ENSCJAG00000011388,ENSG00000120217,ortholog_one2one
ENSCJAG00000003360,ENSG00000073169,ortholog_one2one
ENSCJAG00000021268,ENSG00000164265,ortholog_one2one
ENSCJAG00000016471,ENSG00000198785,ortholog_one2one
ENSCJAG00000001331,ENSG00000165092,ortholog_one2one
ENSCJAG00000006952,ENSG00000124795,ortholog_one2one
ENSCJAG00000017623,ENSG00000180822,ortholog_one2one
ENSCJAG00000079559,ENSG00000124882,ortholog_one2one
ENSCJAG00000002068,ENSG00000134352,ortholog_one2one
ENSCJAG00000081437,ENSG00000171643,ortholog_one2one
ENSCJAG00000082790,ENSG00000178776,ortholog_one2one
ENSCJAG00000020334,ENSG00000100038,ortholog_one2one
ENSCJAG00000081497,ENSG00000250803,ortholog_one2one
ENSCJAG00000082947,ENSG00000119421,ortholog_one2one
ENSCJAG00000063287,ENSG00000107341,ortholog_one2one
ENSCJAG00000048652,ENSG00000197646,ortholog_one2one
ENSCJAG00000062182,ENSG00000164251,ortholog_one2one
ENSCJAG00000013872,ENSG00000182585,ortholog_one2one
ENSCJAG00000046004,ENSG00000136943,ortholog_one2one
ENSCJAG00000003221,ENSG00000189184,ortholog_one2one
ENSCJAG00000020132,ENSG00000100154,ortholog_one2one
ENSCJAG00000003351,ENSG00000128159,ortholog_one2one
ENSCJAG00000008585,ENSG00000136104,ortholog_one2one
ENSCJAG00000015422,ENSG00000068796,ortholog_one2one
ENSCJAG00000016675,ENSG00000152503,ortholog_one2one
ENSCJAG00000005400,ENSG00000164122,ortholog_one2one
ENSCJAG00000001373,ENSG00000112992,ortholog_one2one
ENSCJAG00000018881,ENSG00000113360,ortholog_one2one
ENSCJAG00000018972,ENSG00000185989,ortholog_one2one
ENSCJAG00000086495,ENSG00000181104,ortholog_one2one
ENSCJAG00000003156,ENSG00000164109,ortholog_one2one
ENSCJAG00000010526,ENSG00000107147,ortholog_one2one
ENSCJAG00000043472,ENSG00000113083,ortholog_one2one
ENSCJAG00000016490,ENSG00000155833,ortholog_one2one
ENSCJAG00000018932,ENSG00000135074,ortholog_one2one
ENSCJAG00000008324,ENSG00000137073,ortholog_one2one
ENSCJAG00000020137,ENSG00000185681,ortholog_one2one
ENSCJAG00000000355,ENSG00000211652,ortholog_one2one
ENSCJAG00000001348,ENSG00000165091,ortholog_one2one
ENSCJAG00000010329,ENSG00000153347,ortholog_one2one
ENSCJAG00000062937,ENSG00000238300,ortholog_one2one
ENSCJAG00000021334,ENSG00000130957,ortholog_one2one
ENSCJAG00000013883,ENSG00000163738,ortholog_one2one
ENSCJAG00000017177,ENSG00000151304,ortholog_one2one
ENSCJAG00000006934,ENSG00000165097,ortholog_one2one
ENSCJAG00000009127,ENSG00000145725,ortholog_one2one
ENSCJAG00000045954,ENSG00000137285,ortholog_one2one
ENSCJAG00000048026,ENSG00000164362,ortholog_one2one
ENSCJAG00000011447,ENSG00000107036,ortholog_one2one
ENSCJAG00000008463,ENSG00000198876,ortholog_one2one
ENSCJAG00000016076,ENSG00000257923,ortholog_one2one
ENSCJAG00000005386,ENSG00000150628,ortholog_one2one
ENSCJAG00000016524,ENSG00000136824,ortholog_one2one
ENSCJAG00000041493,ENSG00000165140,ortholog_one2one
ENSCJAG00000014538,ENSG00000093010,ortholog_one2one
ENSCJAG00000003337,ENSG00000100429,ortholog_one2one
ENSCJAG00000020122,ENSG00000106852,ortholog_one2one
ENSCJAG00000003715,ENSG00000118946,ortholog_one2one
ENSCJAG00000015083,ENSG00000138669,ortholog_one2one
ENSCJAG00000074671,ENSG00000186047,ortholog_one2one
ENSCJAG00000074582,ENSG00000181867,ortholog_one2one
ENSCJAG00000021245,ENSG00000133710,ortholog_one2one
ENSCJAG00000001340,ENSG00000172239,ortholog_one2one
ENSCJAG00000001414,ENSG00000119125,ortholog_one2one
ENSCJAG00000002043,ENSG00000164509,ortholog_one2one
ENSCJAG00000020578,ENSG00000148357,ortholog_one2one
ENSCJAG00000062893,ENSG00000152785,ortholog_one2one
ENSCJAG00000065215,ENSG00000163735,ortholog_one2one
ENSCJAG00000036709,ENSG00000164363,ortholog_one2one
ENSCJAG00000003402,ENSG00000102580,ortholog_one2one
ENSCJAG00000001333,ENSG00000172244,ortholog_one2one
ENSCJAG00000068519,ENSG00000119446,ortholog_one2one
ENSCJAG00000020096,ENSG00000183765,ortholog_one2one
ENSCJAG00000063123,ENSG00000186881,ortholog_one2one
ENSCJAG00000020321,ENSG00000169548,ortholog_one2one
ENSCJAG00000015075,ENSG00000197826,ortholog_one2one
ENSCJAG00000013918,ENSG00000163736,ortholog_one2one
ENSCJAG00000083687,ENSG00000148136,ortholog_one2one
ENSCJAG00000017168,ENSG00000184838,ortholog_one2one
ENSCJAG00000006906,ENSG00000137364,ortholog_one2one
ENSCJAG00000018426,ENSG00000120160,ortholog_one2one
ENSCJAG00000005997,ENSG00000154553,ortholog_one2one
ENSCJAG00000038913,ENSG00000151881,ortholog_one2one
ENSCJAG00000067211,ENSG00000107372,ortholog_one2one
ENSCJAG00000008473,ENSG00000165006,ortholog_one2one
ENSCJAG00000078957,ENSG00000204246,ortholog_one2one
ENSCJAG00000018926,ENSG00000172548,ortholog_one2one
ENSCJAG00000008633,ENSG00000204977,ortholog_one2one
ENSCJAG00000076822,ENSG00000151882,ortholog_one2one
ENSCJAG00000039154,ENSG00000187566,ortholog_one2one
ENSCJAG00000020319,ENSG00000185686,ortholog_one2one
ENSCJAG00000009326,ENSG00000039139,ortholog_one2one
ENSCJAG00000020104,ENSG00000148187,ortholog_one2one
ENSCJAG00000076442,ENSG00000138675,ortholog_one2one
ENSCJAG00000019224,ENSG00000064651,ortholog_one2one
ENSCJAG00000011196,ENSG00000174358,ortholog_one2one
ENSCJAG00000000040,ENSG00000113645,ortholog_one2one
ENSCJAG00000021327,ENSG00000148120,ortholog_one2one
ENSCJAG00000011528,ENSG00000099219,ortholog_one2one
ENSCJAG00000010583,ENSG00000130559,ortholog_one2one
ENSCJAG00000018960,ENSG00000039600,ortholog_one2one
ENSCJAG00000042660,ENSG00000155621,ortholog_one2one
ENSCJAG00000038687,ENSG00000120162,ortholog_one2one
ENSCJAG00000015064,ENSG00000152784,ortholog_one2one
ENSCJAG00000014479,ENSG00000099889,ortholog_one2one
ENSCJAG00000017707,ENSG00000137275,ortholog_one2one
ENSCJAG00000078187,ENSG00000163739,ortholog_one2one
ENSCJAG00000016659,ENSG00000080709,ortholog_one2one
ENSCJAG00000001448,ENSG00000107362,ortholog_one2one
ENSCJAG00000003690,ENSG00000102837,ortholog_one2one
ENSCJAG00000005304,ENSG00000150627,ortholog_one2one
ENSCJAG00000021794,ENSG00000211669,ortholog_one2one
ENSCJAG00000011596,ENSG00000120215,ortholog_one2one
ENSCJAG00000005979,ENSG00000168491,ortholog_one2one
ENSCJAG00000001303,ENSG00000112972,ortholog_one2one
ENSCJAG00000073560,ENSG00000196800,ortholog_one2one
ENSCJAG00000018969,ENSG00000187658,ortholog_one2one
ENSCJAG00000065339,ENSG00000124875,ortholog_one2one
ENSCJAG00000008519,ENSG00000186638,ortholog_one2one
ENSCJAG00000003322,ENSG00000188130,ortholog_one2one
ENSCJAG00000007818,ENSG00000123178,ortholog_one2one
ENSCJAG00000020051,ENSG00000100209,ortholog_one2one
ENSCJAG00000018440,ENSG00000147894,ortholog_one2one
ENSCJAG00000001452,ENSG00000135048,ortholog_one2one
ENSCJAG00000048610,ENSG00000178172,ortholog_one2one
ENSCJAG00000070450,ENSG00000169429,ortholog_one2one
ENSCJAG00000020554,ENSG00000130707,ortholog_one2one
ENSCJAG00000020078,ENSG00000095303,ortholog_one2one
ENSCJAG00000018973,ENSG00000113272,ortholog_one2one
ENSCJAG00000017157,ENSG00000164334,ortholog_one2one
ENSCJAG00000015391,ENSG00000130449,ortholog_one2one
ENSCJAG00000045189,ENSG00000183354,ortholog_one2one
ENSCJAG00000043278,ENSG00000248109,ortholog_one2one
ENSCJAG00000045669,ENSG00000136099,ortholog_one2one
ENSCJAG00000001951,ENSG00000152670,ortholog_one2one
ENSCJAG00000005969,ENSG00000205129,ortholog_one2one
ENSCJAG00000003176,ENSG00000138735,ortholog_one2one
ENSCJAG00000018985,ENSG00000155858,ortholog_one2one
ENSCJAG00000044653,ENSG00000211673,ortholog_one2one
ENSCJAG00000003362,ENSG00000134874,ortholog_one2one
ENSCJAG00000015024,ENSG00000163297,ortholog_one2one
ENSCJAG00000020088,ENSG00000159873,ortholog_one2one
ENSCJAG00000030231,ENSG00000207563,ortholog_one2one
ENSCJAG00000046200,ENSG00000164978,ortholog_one2one
ENSCJAG00000044950,ENSG00000214510,ortholog_one2one
ENSCJAG00000001300,ENSG00000177453,ortholog_one2one
ENSCJAG00000048208,ENSG00000130560,ortholog_one2one
ENSCJAG00000017717,ENSG00000124588,ortholog_one2one
ENSCJAG00000022711,ENSG00000174482,ortholog_one2one
ENSCJAG00000019985,ENSG00000145703,ortholog_one2one
ENSCJAG00000019010,ENSG00000130177,ortholog_one2one
ENSCJAG00000007577,ENSG00000145623,ortholog_one2one
ENSCJAG00000016598,ENSG00000047188,ortholog_one2one
ENSCJAG00000010829,ENSG00000183597,ortholog_one2one
ENSCJAG00000048296,ENSG00000215966,ortholog_one2one
ENSCJAG00000016653,ENSG00000165029,ortholog_one2one
ENSCJAG00000003648,ENSG00000136110,ortholog_one2one
ENSCJAG00000037936,ENSG00000207617,ortholog_one2one
ENSCJAG00000083712,ENSG00000164976,ortholog_one2one
ENSCJAG00000021238,ENSG00000145879,ortholog_one2one
ENSCJAG00000005943,ENSG00000109775,ortholog_one2one
ENSCJAG00000003244,ENSG00000138650,ortholog_one2one
ENSCJAG00000077601,ENSG00000113504,ortholog_one2one
ENSCJAG00000010665,ENSG00000148411,ortholog_one2one
ENSCJAG00000020084,ENSG00000100219,ortholog_one2one
ENSCJAG00000080787,ENSG00000197233,ortholog_one2one
ENSCJAG00000013949,ENSG00000169435,ortholog_one2one
ENSCJAG00000021232,ENSG00000204909,ortholog_one2one
ENSCJAG00000018990,ENSG00000113282,ortholog_one2one
ENSCJAG00000008764,ENSG00000123179,ortholog_one2one
ENSCJAG00000015491,ENSG00000113643,ortholog_one2one
ENSCJAG00000075711,ENSG00000239590,ortholog_one2one
ENSCJAG00000008549,ENSG00000164972,ortholog_one2one
ENSCJAG00000020542,ENSG00000107164,ortholog_one2one
ENSCJAG00000041863,ENSG00000238227,ortholog_one2one
ENSCJAG00000001280,ENSG00000172262,ortholog_one2one
ENSCJAG00000021773,ENSG00000171505,ortholog_one2one
ENSCJAG00000023111,ENSG00000196475,ortholog_one2one
ENSCJAG00000021324,ENSG00000158169,ortholog_one2one
ENSCJAG00000015387,ENSG00000188725,ortholog_one2one
ENSCJAG00000009770,ENSG00000100218,ortholog_one2one
ENSCJAG00000005934,ENSG00000186352,ortholog_one2one
ENSCJAG00000011610,ENSG00000137033,ortholog_one2one
ENSCJAG00000020076,ENSG00000171501,ortholog_one2one
ENSCJAG00000022614,ENSG00000152213,ortholog_one2one
ENSCJAG00000081665,ENSG00000130711,ortholog_one2one
ENSCJAG00000085216,ENSG00000171496,ortholog_one2one
ENSCJAG00000023110,ENSG00000156269,ortholog_one2one
ENSCJAG00000010345,ENSG00000175471,ortholog_one2one
ENSCJAG00000005918,ENSG00000109771,ortholog_one2one
ENSCJAG00000008772,ENSG00000136144,ortholog_one2one
ENSCJAG00000010692,ENSG00000107187,ortholog_one2one
ENSCJAG00000013963,ENSG00000079557,ortholog_one2one
ENSCJAG00000010780,ENSG00000128191,ortholog_one2one
ENSCJAG00000082829,ENSG00000128266,ortholog_one2one
ENSCJAG00000045083,ENSG00000183579,ortholog_one2one
ENSCJAG00000040823,ENSG00000165202,ortholog_one2one
ENSCJAG00000078559,ENSG00000185386,ortholog_one2one
ENSCJAG00000009265,ENSG00000145723,ortholog_one2one
ENSCJAG00000021201,ENSG00000145868,ortholog_one2one
ENSCJAG00000008563,ENSG00000164970,ortholog_one2one
ENSCJAG00000020537,ENSG00000130713,ortholog_one2one
ENSCJAG00000010708,ENSG00000165661,ortholog_one2one
ENSCJAG00000015351,ENSG00000049167,ortholog_one2one
ENSCJAG00000020058,ENSG00000100249,ortholog_one2one
ENSCJAG00000018954,ENSG00000113361,ortholog_one2one
ENSCJAG00000015548,ENSG00000188573,ortholog_one2one
ENSCJAG00000020065,ENSG00000171481,ortholog_one2one
ENSCJAG00000019102,ENSG00000169062,ortholog_one2one
ENSCJAG00000011619,ENSG00000147854,ortholog_one2one
ENSCJAG00000013971,ENSG00000081051,ortholog_one2one
ENSCJAG00000010758,ENSG00000099899,ortholog_one2one
ENSCJAG00000046327,ENSG00000163291,ortholog_one2one
ENSCJAG00000087080,ENSG00000288570,ortholog_one2one
ENSCJAG00000020057,ENSG00000183762,ortholog_one2one
ENSCJAG00000009762,ENSG00000100228,ortholog_one2one
ENSCJAG00000015550,ENSG00000120137,ortholog_one2one
ENSCJAG00000007608,ENSG00000113594,ortholog_one2one
ENSCJAG00000019117,ENSG00000198824,ortholog_one2one
ENSCJAG00000010719,ENSG00000260220,ortholog_one2one
ENSCJAG00000048534,ENSG00000205279,ortholog_one2one
ENSCJAG00000010749,ENSG00000099901,ortholog_one2one
ENSCJAG00000022331,ENSG00000148215,ortholog_one2one
ENSCJAG00000003197,ENSG00000196576,ortholog_one2one
ENSCJAG00000015335,ENSG00000164181,ortholog_one2one
ENSCJAG00000043259,ENSG00000145506,ortholog_one2one
ENSCJAG00000003433,ENSG00000102595,ortholog_one2one
ENSCJAG00000013986,ENSG00000163631,ortholog_one2one
ENSCJAG00000076517,ENSG00000250722,ortholog_one2one
ENSCJAG00000021725,ENSG00000178235,ortholog_one2one
ENSCJAG00000020525,ENSG00000097007,ortholog_one2one
ENSCJAG00000087386,ENSG00000136940,ortholog_one2one
ENSCJAG00000008574,ENSG00000122735,ortholog_one2one
ENSCJAG00000008864,ENSG00000136169,ortholog_one2one
ENSCJAG00000014993,ENSG00000138756,ortholog_one2one
ENSCJAG00000017062,ENSG00000133835,ortholog_one2one
ENSCJAG00000005873,ENSG00000109762,ortholog_one2one
ENSCJAG00000020041,ENSG00000186998,ortholog_one2one
ENSCJAG00000009287,ENSG00000145730,ortholog_one2one
ENSCJAG00000015563,ENSG00000184347,ortholog_one2one
ENSCJAG00000001260,ENSG00000198865,ortholog_one2one
ENSCJAG00000007687,ENSG00000122729,ortholog_one2one
ENSCJAG00000011661,ENSG00000178445,ortholog_one2one
ENSCJAG00000010741,ENSG00000160360,ortholog_one2one
ENSCJAG00000073411,ENSG00000136098,ortholog_one2one
ENSCJAG00000019201,ENSG00000164244,ortholog_one2one
ENSCJAG00000023270,ENSG00000188710,ortholog_one2one
ENSCJAG00000020050,ENSG00000056586,ortholog_one2one
ENSCJAG00000010730,ENSG00000099904,ortholog_one2one
ENSCJAG00000003849,ENSG00000071539,ortholog_one2one
ENSCJAG00000073482,ENSG00000168913,ortholog_one2one
ENSCJAG00000019016,ENSG00000164330,ortholog_one2one
ENSCJAG00000001907,ENSG00000177058,ortholog_one2one
ENSCJAG00000015283,ENSG00000035499,ortholog_one2one
ENSCJAG00000005275,ENSG00000150625,ortholog_one2one
ENSCJAG00000001494,ENSG00000083067,ortholog_one2one
ENSCJAG00000070440,ENSG00000130720,ortholog_one2one
ENSCJAG00000007662,ENSG00000113100,ortholog_one2one
ENSCJAG00000016557,ENSG00000171444,ortholog_one2one
ENSCJAG00000009238,ENSG00000169862,ortholog_one2one
ENSCJAG00000009728,ENSG00000186716,ortholog_one2one
ENSCJAG00000010789,ENSG00000213221,ortholog_one2one
ENSCJAG00000008660,ENSG00000122756,ortholog_one2one
ENSCJAG00000077008,ENSG00000205593,ortholog_one2one
ENSCJAG00000016628,ENSG00000136783,ortholog_one2one
ENSCJAG00000016065,ENSG00000106436,ortholog_one2one
ENSCJAG00000033357,ENSG00000234409,ortholog_one2one
ENSCJAG00000003228,ENSG00000145384,ortholog_one2one
ENSCJAG00000008567,ENSG00000050555,ortholog_one2one
ENSCJAG00000021318,ENSG00000185920,ortholog_one2one
ENSCJAG00000019171,ENSG00000145794,ortholog_one2one
ENSCJAG00000047001,ENSG00000040608,ortholog_one2one
ENSCJAG00000010809,ENSG00000187796,ortholog_one2one
ENSCJAG00000024149,ENSG00000212447,ortholog_one2one
ENSCJAG00000021192,ENSG00000164270,ortholog_one2one
ENSCJAG00000007741,ENSG00000107201,ortholog_one2one
ENSCJAG00000008716,ENSG00000164967,ortholog_one2one
ENSCJAG00000052214,ENSG00000185352,ortholog_one2one
ENSCJAG00000082553,ENSG00000126878,ortholog_one2one
ENSCJAG00000003234,ENSG00000145390,ortholog_one2one
ENSCJAG00000068844,ENSG00000151470,ortholog_one2one
ENSCJAG00000020049,ENSG00000186130,ortholog_one2one
ENSCJAG00000007668,ENSG00000164318,ortholog_one2one
ENSCJAG00000019025,ENSG00000145860,ortholog_one2one
